beta_e_phys,gamma_exch_phys,gamma_drain_phys,D_over_H,Y_p,Li7_over_H,Li_total_over_H,Be7_over_H,source_label
0.000,0.000,0.000,2.527000e-05,0.243600,1.100000e-10,1.100000e-10,,Cooke2018_Hsyu2020_Asplund2006_low
0.000,0.000,0.250,2.527000e-05,0.243600,1.500000e-10,1.500000e-10,,Cooke2018_Hsyu2020_Asplund2006_high
0.000,0.000,0.500,2.527000e-05,0.243600,1.900000e-10,1.900000e-10,,Cooke2018_Hsyu2020_Coc2014_threshold
0.000,0.000,0.750,2.527000e-05,0.243600,2.500000e-10,2.500000e-10,,Cooke2018_Hsyu2020_Pospelov2009_low
0.000,0.000,1.000,2.527000e-05,0.243600,5.240000e-10,5.240000e-10,,Cooke2018_Hsyu2020_Fields2008_central
0.250,0.000,0.000,2.530000e-05,0.255100,1.100000e-10,1.100000e-10,,Izotov2014_Cooke2014_Asplund2006_low
0.250,0.000,0.250,2.530000e-05,0.255100,1.500000e-10,1.500000e-10,,Izotov2014_Cooke2014_Asplund2006_high
0.250,0.000,0.500,2.530000e-05,0.255100,1.900000e-10,1.900000e-10,,Izotov2014_Coc2014_threshold
0.250,0.000,0.750,2.530000e-05,0.255100,2.500000e-10,2.500000e-10,,Izotov2014_Pospelov2009_low
0.250,0.000,1.000,2.530000e-05,0.255100,5.240000e-10,5.240000e-10,,Izotov2014_Fields2008_central
0.500,0.000,0.000,3.600000e-05,0.243600,1.100000e-10,1.100000e-10,,Coc2014_threshold_Asplund2006_low
0.500,0.000,0.250,3.600000e-05,0.243600,1.500000e-10,1.500000e-10,,Coc2014_threshold_Asplund2006_high
0.500,0.000,0.500,3.600000e-05,0.243600,1.900000e-10,1.900000e-10,,Coc2014_threshold_Coc2014_threshold
0.500,0.000,0.750,3.600000e-05,0.243600,2.500000e-10,2.500000e-10,,Coc2014_threshold_Pospelov2009_low
0.500,0.000,1.000,3.600000e-05,0.243600,5.240000e-10,5.240000e-10,,Coc2014_threshold_Fields2008_central
0.750,0.000,0.000,3.600000e-05,0.255100,1.100000e-10,1.100000e-10,,Coc2014_threshold_Izotov2014_low
0.750,0.000,0.250,3.600000e-05,0.255100,1.500000e-10,1.500000e-10,,Coc2014_threshold_Izotov2014_high
0.750,0.000,0.500,3.600000e-05,0.255100,1.900000e-10,1.900000e-10,,Coc2014_threshold_Coc2014_threshold_Yp_high
0.750,0.000,0.750,3.600000e-05,0.255100,2.500000e-10,2.500000e-10,,Coc2014_threshold_Pospelov2009_low_Yp_high
0.750,0.000,1.000,3.600000e-05,0.255100,5.240000e-10,5.240000e-10,,Coc2014_threshold_Fields2008_central_Yp_high
