P,Kanal 1 +DC,Unsicherheit Kanal1,Kanal 2 +DC,Unsicherheit Kanal 2,Kanal 1,,Kanal 2,,insgesamt,,Dunkelzählrate Kanal 1,Dunkelzählrate Kanal 2,Raw Countrates Channel 1,Errors Channel 1,Raw Countrates Channel 2,Errors Channel 2,Total Noiserate,Total Error
W,Photonen/s,Photonen/s,Photonen/s,Photonen/s,Photonen/s,Photonen/s,Photonen/s,Photonen/s,Photonen/s,Photonen/s,Photonen/s,Photonen/s,,,,,,
,,,,,,,,,,,"60.53 measured before Measurement, 59.29 after",,,,,,,
1.36,65.31,0.25,57.18,0.23,17.5180127683591,1.43117210822809,10.2410006003345,1.2135783578723,27.7590133686936,1.87643972300366,60.53,53.99,4.78,0.25,3.19,0.23,27.7590133686936,4.24564256918263
1.26,65.59,0.32,57.09,0.3,19.0491082590386,1.60753144076209,11.0043493040864,1.36203403836339,30.0534575631249,2.10696323050478,60.3922222222222,53.6622222222222,5.19777777777778,0.32,3.42777777777778,0.3,30.0534575631249,4.94373101025231
1.16,63.9,0.32,56.66,0.29,13.3604369811683,1.60753144076209,10.6761807024734,1.33952583493209,24.0366176836418,2.09248340387425,60.2544444444445,53.3344444444445,3.64555555555555,0.32,3.32555555555555,0.29,24.0366176836418,4.33231300100855
1.06,63.89,0.32,56.11,0.3,13.8287241658176,1.60753144076209,9.96277069896701,1.36203403836339,23.7914948647847,2.10696323050478,60.1166666666667,53.0066666666667,3.77333333333333,0.32,3.10333333333333,0.3,23.7914948647847,4.34826240384101
0.96,63.09,0.31,55.94,0.28,11.4017749305917,1.58099366054071,10.4692918014566,1.31741544937981,21.8710667320483,2.0579417924068,59.9788888888889,52.6788888888889,3.11111111111112,0.31,3.26111111111111,0.28,21.8710667320483,4.05572597177226
0.86,62.81,0.31,55.32,0.29,10.8805509337647,1.58099366054071,9.53115764684565,1.33952583493209,20.4117085806103,2.07216563457665,59.8411111111111,52.3511111111111,2.96888888888889,0.31,2.96888888888889,0.29,20.4117085806103,3.95644013491451
0.76,62.52,0.3,54.86,0.28,10.3226783746607,1.55486681440409,9.10667869475933,1.31741544937981,19.42935706942,2.03793873234691,59.7033333333333,52.0233333333333,2.81666666666667,0.3,2.83666666666667,0.28,19.42935706942,3.79655557462053
0.66,61.72,0.3,54.86,0.29,7.89572913943475,1.55486681440409,10.1589584499313,1.33952583493209,18.054687589366,2.05230121399994,59.5655555555556,51.6955555555556,2.15444444444444,0.3,3.16444444444444,0.29,18.054687589366,3.68534725353977
0.36,60.59,0.31,52.71,0.28,4.25937734907106,1.58099366054071,4.30899642117873,1.31741544937981,8.56837377024979,2.0579417924068,59.4277777777778,51.3677777777778,1.16222222222223,0.31,1.34222222222223,0.28,8.56837377024979,2.8306339395279
0,59.29,0.31,51.04,0.28,0,1.58099366054071,0,1.31741544937981,0,2.0579417924068,59.29,51.04,0,0.31,0,0.28,0,2.04498977505113
