N,MIN_NEUTRON,Cint_n,lambda_pred,|Cn|,eps
60,20,1.1471583029453172,1982.289547489508,388,-0.0795886288093399
60,21,1.1489005069103262,1985.3000759410436,382,-0.08122821384730818
60,22,1.141384026469629,1972.3115977395191,369,-0.07415446753730903
60,23,1.1388048475630068,1967.8547765888757,356,-0.07172720687755059
60,24,1.1378333917050947,1966.1761008664037,338,-0.07081297150576332
60,25,1.1331121949652123,1958.017872899887,334,-0.06636986169113498
60,26,1.1191154143908917,1933.8314360674608,316,-0.05319751650636028
60,27,1.1049644515808679,1909.3785723317396,301,-0.03988007069510522
60,28,1.0854918640706002,1875.729941113997,284,-0.02155445338875348
60,29,1.0799204996467766,1866.10262338963,274,-0.016311252286107174
60,30,1.0761204087012088,1859.5360662356888,251,-0.012734993488395366
60,31,1.0742904310096242,1856.3738647846305,242,-0.01101280475320757
60,32,1.0585179614959883,1829.1190374650678,218,0.0038306381190138187
60,33,1.0595668032197136,1830.931435963665,207,0.002843575047206381
60,34,1.048268203731093,1811.4074560473289,190,0.013476666834161915
60,35,1.0439938418749204,1804.0213587598623,176,0.017499261138272076
100,20,1.1725868561440536,2026.2300874169246,1297,-0.10351939478117261
100,21,1.1738295089786477,2028.3773915151032,1291,-0.10468885314305788
100,22,1.1717397343923435,2024.7662610299694,1278,-0.10272217001453383
100,23,1.1660808559938263,2014.9877191573319,1265,-0.09739660966670005
100,24,1.1651884978705573,2013.445724320323,1247,-0.09655681303162938
100,25,1.1642076672885815,2011.7508490746688,1243,-0.09563375512377932
100,26,1.1543960686577777,1994.7964066406398,1225,-0.08640007718668816
100,27,1.1541428442514885,1994.3588348665721,1210,-0.08616176815046805
100,28,1.1502200092084867,1987.5801759122648,1193,-0.08246999510201763
100,29,1.1444634826039355,1977.6328979396005,1183,-0.07705253820199286
100,30,1.14408799159358,1976.9840494737061,1160,-0.07669916428318917
100,31,1.145188939664114,1978.8864877395888,1151,-0.07773526454485871
100,32,1.1423495640082963,1973.9800466063361,1126,-0.07506313318943168
100,33,1.1426968743199715,1974.5801988249107,1113,-0.07538998630306905
100,34,1.1371765493771517,1965.0410773237181,1091,-0.07019481836478245
100,35,1.1412271783303463,1972.0405641548384,1073,-0.07400685803373408
200,20,1.174966930135234,2030.342855273684,5631,-0.10575927816082993
200,21,1.174659863766905,2029.8122445892118,5625,-0.10547029855035549
200,22,1.174003529823792,2028.6780995355127,5612,-0.10485262384942973
200,23,1.174572347929261,2029.661017221763,5599,-0.1053879375519487
200,24,1.1734268882227883,2027.6816628489782,5581,-0.10430994746924427
200,25,1.174086853688415,2028.8220831735812,5577,-0.10493103978951787
200,26,1.1751953598405371,2030.7375818044482,5559,-0.10597425294826293
200,27,1.1714643912523262,2024.2904680840195,5544,-0.10246304507753067
200,28,1.1719053210920731,2025.0523948471023,5527,-0.10287800336172857
200,29,1.1720033706762536,2025.2218245285662,5517,-0.10297027765017595
200,30,1.1704554224469945,2022.5469699884065,5494,-0.10151350633796646
200,31,1.1704911162030334,2022.6086487988416,5485,-0.1015470976679861
200,32,1.1705640958290062,2022.7347575925228,5460,-0.10161577866356693
200,33,1.1702763882088898,2022.2375988249617,5447,-0.10134501753643915
200,34,1.1709347924363052,2023.3753213299353,5425,-0.10196464057822213
200,35,1.1696290591011347,2021.1190141267607,5407,-0.10073581726997594
