z,H_LCDM,H_LRD
0.000000,70.000000,38.340579
0.010000,70.317441,38.917123
0.020000,70.639760,39.496528
0.030000,70.966955,40.078781
0.040000,71.299019,40.663867
0.050000,71.635946,41.251773
0.060000,71.977729,41.842485
0.070000,72.324361,42.435990
0.080000,72.675833,43.032274
0.090000,73.032134,43.631326
0.100000,73.393256,44.233132
0.110000,73.759186,44.837680
0.120000,74.129914,45.444957
0.130000,74.505427,46.054952
0.140000,74.885711,46.667651
0.150000,75.270753,47.283044
0.160000,75.660539,47.901118
0.170000,76.055053,48.521862
0.180000,76.454281,49.145265
0.190000,76.858205,49.771314
0.200000,77.266810,50.400000
0.210000,77.680079,51.031311
0.220000,78.097993,51.665236
0.230000,78.520535,52.301764
0.240000,78.947687,52.940885
0.250000,79.379429,53.582588
0.260000,79.815742,54.226863
0.270000,80.256607,54.873701
0.280000,80.702004,55.523089
0.290000,81.151912,56.175020
0.300000,81.606311,56.829482
0.310000,82.065180,57.486466
0.320000,82.528498,58.145963
0.330000,82.996243,58.807962
0.340000,83.468394,59.472455
0.350000,83.944930,60.139432
0.360000,84.425827,60.808884
0.370000,84.911065,61.480801
0.380000,85.400620,62.155175
0.390000,85.894470,62.831998
0.400000,86.392592,63.511259
0.410000,86.894965,64.192950
0.420000,87.401564,64.877063
0.430000,87.912367,65.563590
0.440000,88.427351,66.252521
0.450000,88.946494,66.943848
0.460000,89.469771,67.637563
0.470000,89.997160,70.790889
0.480000,90.528638,73.772838
0.490000,91.064181,76.562963
0.500000,91.603766,79.148436
0.510000,92.147371,81.524228
0.520000,92.694972,83.692519
0.530000,93.246545,85.661541
0.540000,93.802069,87.444120
0.550000,94.361519,89.056151
0.560000,94.924873,90.515189
0.570000,95.492108,91.839285
0.580000,96.063201,93.046085
0.590000,96.638130,94.152210
0.600000,97.216871,95.172875
0.610000,97.799402,96.121702
0.620000,98.385701,97.010666
0.630000,98.975745,97.850147
0.640000,99.569512,98.649036
0.650000,100.166979,99.414879
0.660000,100.768126,100.154030
0.670000,101.372928,100.871804
0.680000,101.981366,101.572624
0.690000,102.593417,102.260158
0.700000,103.209060,102.937431
0.710000,103.828272,103.606936
0.720000,104.451034,104.270718
0.730000,105.077324,104.930451
0.740000,105.707120,105.587506
0.750000,106.340403,106.242999
0.760000,106.977150,106.897842
0.770000,107.617343,107.552772
0.780000,108.260960,108.208392
0.790000,108.907981,108.865187
0.800000,109.558386,109.523550
0.810000,110.212156,110.183799
0.820000,110.869270,110.846187
0.830000,111.529709,111.510920
0.840000,112.193453,112.178160
0.850000,112.860484,112.848036
0.860000,113.530781,113.520649
0.870000,114.204327,114.196081
0.880000,114.881103,114.874391
0.890000,115.561090,115.555626
0.900000,116.244269,116.239822
0.910000,116.930622,116.927002
0.920000,117.620132,117.617185
0.930000,118.312779,118.310381
0.940000,119.008548,119.006596
0.950000,119.707419,119.705831
0.960000,120.409376,120.408083
0.970000,121.114402,121.113349
0.980000,121.822478,121.821622
0.990000,122.533589,122.532892
1.000000,123.247718,123.247150
1.010000,123.964848,123.964386
1.020000,124.684962,124.684586
