series,t_sqz_us,r,r_err
$\Delta$ = 50 kHz,100,0.2774710994813564,0.0189513505403318
$\Delta$ = 50 kHz,200,0.5539484897804633,0.0206547097755298
$\Delta$ = 50 kHz,300,0.8237813318705284,0.0288094364121925
$\Delta$ = 50 kHz,400,1.120010250286936,0.0339619969110274
$\Delta$ = 50 kHz,500,1.4250037038726,0.0395598344257767
$\Delta$ = 50 kHz,600,1.673541550362849,0.049562311568402
$\Delta$ = 50 kHz,700,1.940543863901043,0.0658071596987301
$\Delta$ = 50 kHz,800,2.271211516014373,0.1530179004059824
$\Delta$ = 50 kHz,1000,2.703372106207226,0.612488723317806
$\Delta$ = 100 kHz,200,0.2345909765064565,0.0203240136866404
$\Delta$ = 100 kHz,400,0.5688129698719323,0.0254015642844943
$\Delta$ = 100 kHz,600,0.8092497766452098,0.0225526753208525
$\Delta$ = 100 kHz,800,1.015642314209722,0.0281361899334757
$\Delta$ = 100 kHz,100,0.1574898528675503,0.022095661574687
$\Delta$ = 100 kHz,200,0.3190100863484368,0.0263312774325923
$\Delta$ = 100 kHz,300,0.3869195922740798,0.0198969785305129
$\Delta$ = 100 kHz,500,0.7079326462137452,0.026035299009006
$\Delta$ = 100 kHz,700,0.9076104554607788,0.0299713053813034
$\Delta$ = 100 kHz,1000,1.324192897008347,0.0354136657496481
