series,phi_probe_cycles,P_down,P_down_err,
start in $|\downarrow\rangle$,0,0.5366666666666666,0.03040364097313963,
start in $|\downarrow\rangle$,0.01351351351351352,0.5,0.03048106808024231,
start in $|\downarrow\rangle$,0.02702702702702703,0.5366666666666666,0.03040364097313963,
start in $|\downarrow\rangle$,0.04054054054054054,0.52,0.03045805367192034,
start in $|\downarrow\rangle$,0.05405405405405406,0.5166666666666667,0.03046508780324825,
start in $|\downarrow\rangle$,0.06756756756756757,0.4933333333333333,0.03047851183144154,
start in $|\downarrow\rangle$,0.08108108108108109,0.54,0.03038889981976006,
start in $|\downarrow\rangle$,0.0945945945945946,0.4833333333333333,0.03046508780324825,
start in $|\downarrow\rangle$,0.1081081081081081,0.5166666666666667,0.03046508780324825,
start in $|\downarrow\rangle$,0.1216216216216216,0.5166666666666667,0.03046508780324825,
start in $|\downarrow\rangle$,0.1351351351351351,0.4933333333333333,0.03047851183144154,
start in $|\downarrow\rangle$,0.1486486486486487,0.5066666666666667,0.03047851183144154,
start in $|\downarrow\rangle$,0.1621621621621622,0.4833333333333333,0.03046508780324825,
start in $|\downarrow\rangle$,0.1756756756756757,0.51,0.03047531620153079,
start in $|\downarrow\rangle$,0.1891891891891892,0.56,0.03027327196607205,
start in $|\downarrow\rangle$,0.2027027027027027,0.5033333333333333,0.03048042903929968,
start in $|\downarrow\rangle$,0.2162162162162163,0.4833333333333333,0.03046508780324825,
start in $|\downarrow\rangle$,0.2297297297297297,0.49,0.03047531620153077,
start in $|\downarrow\rangle$,0.2432432432432433,0.5066666666666667,0.03047851183144154,
start in $|\downarrow\rangle$,0.2567567567567568,0.46,0.03038889981976009,
start in $|\downarrow\rangle$,0.2702702702702703,0.5033333333333333,0.03048042903929968,
start in $|\downarrow\rangle$,0.2837837837837838,0.5266666666666666,0.03044014085206886,
start in $|\downarrow\rangle$,0.2972972972972973,0.58,0.03011060344182492,
start in $|\downarrow\rangle$,0.3108108108108109,0.7033333333333334,0.02799608637225404,
start in $|\downarrow\rangle$,0.3243243243243243,0.8066666666666666,0.02443887774950382,
start in $|\downarrow\rangle$,0.3378378378378378,0.8133333333333334,0.0241360811586071,
start in $|\downarrow\rangle$,0.3513513513513514,0.8333333333333334,0.02316108776091252,
start in $|\downarrow\rangle$,0.3648648648648649,0.7366666666666667,0.02705618975932744,
start in $|\downarrow\rangle$,0.3783783783783784,0.6566666666666666,0.02903306499929809,
start in $|\downarrow\rangle$,0.3918918918918919,0.6133333333333333,0.02973262626572126,
start in $|\downarrow\rangle$,0.4054054054054054,0.47,0.03042925976960936,
start in $|\downarrow\rangle$,0.418918918918919,0.53,0.03042925976960939,
start in $|\downarrow\rangle$,0.4324324324324325,0.5133333333333333,0.03047084172413086,
start in $|\downarrow\rangle$,0.4459459459459459,0.4966666666666666,0.03048042903929973,
start in $|\downarrow\rangle$,0.4594594594594595,0.48,0.03045805367192034,
start in $|\downarrow\rangle$,0.472972972972973,0.55,0.03033692498470386,
start in $|\downarrow\rangle$,0.4864864864864865,0.4933333333333333,0.03047851183144154,
start in $|\downarrow\rangle$,0.5,0.4833333333333333,0.03046508780324825,
start in $|\downarrow\rangle$,0.5135135135135136,0.5266666666666666,0.03044014085206886,
start in $|\downarrow\rangle$,0.5270270270270271,0.5333333333333333,0.0304170936872295,
start in $|\downarrow\rangle$,0.5405405405405406,0.5066666666666667,0.03047851183144154,
start in $|\downarrow\rangle$,0.5540540540540541,0.5266666666666666,0.03044014085206886,
start in $|\downarrow\rangle$,0.5675675675675675,0.51,0.03047531620153079,
start in $|\downarrow\rangle$,0.5810810810810811,0.5333333333333333,0.0304170936872295,
start in $|\downarrow\rangle$,0.5945945945945946,0.5333333333333333,0.0304170936872295,
start in $|\downarrow\rangle$,0.6081081081081081,0.4966666666666666,0.03048042903929973,
start in $|\downarrow\rangle$,0.6216216216216217,0.4766666666666667,0.03044973839170845,
start in $|\downarrow\rangle$,0.6351351351351352,0.5133333333333333,0.03047084172413086,
start in $|\downarrow\rangle$,0.6486486486486487,0.5333333333333333,0.0304170936872295,
start in $|\downarrow\rangle$,0.6621621621621622,0.5133333333333333,0.03047084172413086,
start in $|\downarrow\rangle$,0.6756756756756757,0.5466666666666666,0.03035554407840796,
start in $|\downarrow\rangle$,0.6891891891891893,0.5,0.03048106808024231,
start in $|\downarrow\rangle$,0.7027027027027027,0.48,0.03045805367192034,
start in $|\downarrow\rangle$,0.7162162162162162,0.5166666666666667,0.03046508780324825,
start in $|\downarrow\rangle$,0.7297297297297298,0.53,0.03042925976960939,
start in $|\downarrow\rangle$,0.7432432432432433,0.4966666666666666,0.03048042903929973,
start in $|\downarrow\rangle$,0.7567567567567568,0.47,0.03042925976960936,
start in $|\downarrow\rangle$,0.7702702702702703,0.4966666666666666,0.03048042903929973,
start in $|\downarrow\rangle$,0.7837837837837838,0.59,0.03001138502668366,
start in $|\downarrow\rangle$,0.7972972972972974,0.6466666666666666,0.02921613823267022,
start in $|\downarrow\rangle$,0.8108108108108109,0.7066666666666667,0.02790992711307089,
start in $|\downarrow\rangle$,0.8243243243243243,0.7833333333333333,0.02541956851939164,
start in $|\downarrow\rangle$,0.8378378378378379,0.86,0.02168499975816307,
start in $|\downarrow\rangle$,0.8513513513513514,0.8266666666666667,0.02349767340712799,
start in $|\downarrow\rangle$,0.864864864864865,0.76,0.02628817085200341,
start in $|\downarrow\rangle$,0.8783783783783783,0.6933333333333334,0.02824457687156073,
start in $|\downarrow\rangle$,0.8918918918918919,0.59,0.03001138502668366,
start in $|\downarrow\rangle$,0.9054054054054055,0.51,0.03047531620153079,
start in $|\downarrow\rangle$,0.918918918918919,0.5366666666666666,0.03040364097313963,
start in $|\downarrow\rangle$,0.9324324324324325,0.5,0.03048106808024231,
start in $|\downarrow\rangle$,0.945945945945946,0.5033333333333333,0.03048042903929968,
start in $|\downarrow\rangle$,0.9594594594594595,0.4833333333333333,0.03046508780324825,
start in $|\downarrow\rangle$,0.972972972972973,0.55,0.03033692498470386,
start in $|\downarrow\rangle$,0.9864864864864865,0.53,0.03042925976960939,
start in $|\downarrow\rangle$,1,0.49,0.03047531620153077,
start in $|\uparrow\rangle$,0,0.5066666666666667,0.03047851183144154,
start in $|\uparrow\rangle$,0.01351351351351352,0.42,0.03011060344182495,
start in $|\uparrow\rangle$,0.02702702702702703,0.4366666666666666,0.03024944607064198,
start in $|\uparrow\rangle$,0.04054054054054054,0.39,0.0297765487494305,
start in $|\uparrow\rangle$,0.05405405405405406,0.35,0.02915658894154877,
start in $|\uparrow\rangle$,0.06756756756756757,0.2333333333333333,0.02605070904798228,
start in $|\uparrow\rangle$,0.08108108108108109,0.16,0.02281218291295932,
start in $|\uparrow\rangle$,0.0945945945945946,0.12,0.02041989260715577,
start in $|\uparrow\rangle$,0.1081081081081081,0.19,0.02428879994837427,
start in $|\uparrow\rangle$,0.1216216216216216,0.31,0.02832412965805417,
start in $|\uparrow\rangle$,0.1351351351351351,0.43,0.03019786261458857,
start in $|\uparrow\rangle$,0.1486486486486487,0.4666666666666667,0.03041709368722953,
start in $|\uparrow\rangle$,0.1621621621621622,0.52,0.03045805367192034,
start in $|\uparrow\rangle$,0.1756756756756757,0.51,0.03047531620153079,
start in $|\uparrow\rangle$,0.1891891891891892,0.55,0.03033692498470386,
start in $|\uparrow\rangle$,0.2027027027027027,0.51,0.03047531620153079,
start in $|\uparrow\rangle$,0.2162162162162163,0.43,0.03019786261458857,
start in $|\uparrow\rangle$,0.2297297297297297,0.46,0.03038889981976009,
start in $|\uparrow\rangle$,0.2432432432432433,0.5033333333333333,0.03048042903929968,
start in $|\uparrow\rangle$,0.2567567567567568,0.52,0.03045805367192034,
