,series,phase_diff_rad,r,r_err
,$\phi_{\rm probe}$,0.25,1.009832478897948,0.0223885639025869
,$\phi_{\rm probe}$,0.3,0.9834824109324274,0.0192688839546495
,$\phi_{\rm probe}$,0.2,0.9114893260465676,0.0248486003876443
,$\phi_{\rm probe}$,0,-0.0561336872216656,0.015061284774484
,$\phi_{\rm probe}$,0.05,0.2991182878393577,0.0283489326089016
,$\phi_{\rm probe}$,0.5,0.0194702794666691,0.0210720873475984
,$\phi_{\rm probe}$,0.45,0.268785997835637,0.026571335926695
,$\phi_{\rm probe}+\pi/2$,0.5,0.0441070069128185,0.0195266661552413
,$\phi_{\rm probe}+\pi/2$,0.55,0.314192525061985,0.0269191134353044
,$\phi_{\rm probe}+\pi/2$,1,0.0906618362363841,0.0212620519836758
,$\phi_{\rm probe}+\pi/2$,0.95,0.3198932339397805,0.0233140411323556
,$\phi_{\rm probe}+\pi/2$,0.75,1.04582068461389,0.0254921438626701
,$\phi_{\rm probe}+\pi/2$,0.7,1.028471203916742,0.0249419468300917
,$\phi_{\rm probe}+\pi/2$,0.8,0.989735366067175,0.0242756309773133
