gamma_r,gamma_im,W
-15.39247137665673,-15.39247137665673,0.0005881847089967
-15.32406039276047,-15.39247137665673,0.0005128672739206
-15.25564940886422,-15.39247137665673,0.0003591335086815
-15.18723842496797,-15.39247137665673,0.0001406142648876
-15.11882744107172,-15.39247137665673,-0.0001235229094218
-15.05041645717547,-15.39247137665673,-0.0004102715722621
-14.98200547327921,-15.39247137665673,-0.0006947857784401
-14.91359448938296,-15.39247137665673,-0.0009524997024453
-14.84518350548671,-15.39247137665673,-0.0011611783538998
-14.77677252159046,-15.39247137665673,-0.0013027201459994
-14.7083615376942,-15.39247137665673,-0.0013645584328203
-14.63995055379795,-15.39247137665673,-0.0013405491328809
-14.5715395699017,-15.39247137665673,-0.0012312811172045
-14.50312858600545,-15.39247137665673,-0.0010438002249669
-14.4347176021092,-15.39247137665673,-0.0007907913024906
-14.36630661821294,-15.39247137665673,-0.0004893104576637
-14.29789563431669,-15.39247137665673,-0.0001591973918817
-14.22948465042044,-15.39247137665673,0.0001786780603244
-14.16107366652419,-15.39247137665673,0.0005041720527882
-14.09266268262793,-15.39247137665673,0.0007994689554871
-14.02425169873168,-15.39247137665673,0.0010503940617516
-13.95584071483543,-15.39247137665673,0.0012473338416078
-13.88742973093918,-15.39247137665673,0.0013857016299874
-13.81901874704293,-15.39247137665673,0.0014659313079178
-13.75060776314668,-15.39247137665673,0.0014930255845577
-13.68219677925042,-15.39247137665673,0.0014757247250011
-13.61378579535417,-15.39247137665673,0.0014253924862973
-13.54537481145792,-15.39247137665673,0.001354736124485
-13.47696382756167,-15.39247137665673,0.0012764853331634
-13.40855284366541,-15.39247137665673,0.0012021508616509
-13.34014185976916,-15.39247137665673,0.0011409685364389
-13.27173087587291,-15.39247137665673,0.0010991106812879
-13.20331989197666,-15.39247137665673,0.0010792174234247
-13.13490890808041,-15.39247137665673,0.0010802683739131
-13.06649792418416,-15.39247137665673,0.0010977839599876
-12.9980869402879,-15.39247137665673,0.0011243181923521
-12.92967595639165,-15.39247137665673,0.0011501831582993
-12.8612649724954,-15.39247137665673,0.0011643314954961
-12.79285398859915,-15.39247137665673,0.0011553170546186
-12.72444300470289,-15.39247137665673,0.0011122555392011
-12.65603202080664,-15.39247137665673,0.0010257149865613
-12.58762103691039,-15.39247137665673,0.0008884788312025
-12.51921005301414,-15.39247137665673,0.0006961399747415
-12.45079906911788,-15.39247137665673,0.000447500747991
-12.38238808522163,-15.39247137665673,0.0001447690912205
-12.31397710132538,-15.39247137665673,-0.0002064456709613
-12.24556611742913,-15.39247137665673,-0.0005973242292743
-12.17715513353288,-15.39247137665673,-0.0010161961737188
-12.10874414963663,-15.39247137665673,-0.0014490432432381
-12.04033316574037,-15.39247137665673,-0.0018801226216691
-11.97192218184412,-15.39247137665673,-0.0022926859252768
-11.90351119794787,-15.39247137665673,-0.0026697695498357
-11.83510021405161,-15.39247137665673,-0.0029950311851571
-11.76668923015536,-15.39247137665673,-0.0032536049700031
-11.69827824625911,-15.39247137665673,-0.0034329438314966
-11.62986726236286,-15.39247137665673,-0.0035236124331649
-11.56145627846661,-15.39247137665673,-0.0035199887337892
-11.49304529457036,-15.39247137665673,-0.0034208276941801
-11.4246343106741,-15.39247137665673,-0.0032296386060738
-11.35622332677785,-15.39247137665673,-0.0029548292611861
-11.2878123428816,-15.39247137665673,-0.0026095768530524
-11.21940135898535,-15.39247137665673,-0.0022113977325344
-11.15099037508909,-15.39247137665673,-0.0017814058725442
-11.08257939119284,-15.39247137665673,-0.001343272329612
-11.01416840729659,-15.39247137665673,-0.0009219235518694
-10.94575742340034,-15.39247137665673,-0.0005420428528323
-10.87734643950409,-15.39247137665673,-0.000226464070184
-10.80893545560783,-15.39247137665673,5.433500701213451e-06
-10.74052447171158,-15.39247137665673,0.0001392070864046
-10.67211348781533,-15.39247137665673,0.0001665843876478
-10.60370250391908,-15.39247137665673,8.633249576287278e-05
-10.53529152002283,-15.39247137665673,-9.53357925121992e-05
-10.46688053612657,-15.39247137665673,-0.0003648855868774
-10.39846955223032,-15.39247137665673,-0.0007021416211729
-10.33005856833407,-15.39247137665673,-0.0010815111754761
-10.26164758443782,-15.39247137665673,-0.0014736840999131
-10.19323660054157,-15.39247137665673,-0.0018477008372493
-10.12482561664531,-15.39247137665673,-0.002173240958961
-10.05641463274906,-15.39247137665673,-0.0024229570313595
-9.988003648852809,-15.39247137665673,-0.0025746648968439
-9.919592664956555,-15.39247137665673,-0.0026132038138206
-9.851181681060304,-15.39247137665673,-0.0025317990373037
-9.782770697164052,-15.39247137665673,-0.0023327944562735
-9.7143597132678,-15.39247137665673,-0.002027671386606
-9.645948729371549,-15.39247137665673,-0.001636327709731
-9.577537745475295,-15.39247137665673,-0.0011856543289781
-9.509126761579044,-15.39247137665673,-0.0007075078251228
-9.440715777682792,-15.39247137665673,-0.0002362335349324
-9.37230479378654,-15.39247137665673,0.0001940632339755
-9.303893809890289,-15.39247137665673,0.0005522728593865
-9.235482825994035,-15.39247137665673,0.0008128308564642
-9.167071842097783,-15.39247137665673,0.0009578404559645
-9.098660858201532,-15.39247137665673,0.0009785799643965
-9.03024987430528,-15.39247137665673,0.0008762563817874
-8.961838890409028,-15.39247137665673,0.0006619299715315
-8.893427906512773,-15.39247137665673,0.0003556056734926
-8.825016922616523,-15.39247137665673,-1.543984182400255e-05
-8.75660593872027,-15.39247137665673,-0.0004189586120173
-8.68819495482402,-15.39247137665673,-0.0008204654456303
-8.619783970927767,-15.39247137665673,-0.0011861711273904
-8.551372987031513,-15.39247137665673,-0.0014858599786461
-8.482962003135261,-15.39247137665673,-0.0016954591174688
-8.41455101923901,-15.39247137665673,-0.0017990714547256
-8.346140035342758,-15.39247137665673,-0.0017902897941686
-8.277729051446507,-15.39247137665673,-0.0016726715640826
-8.209318067550253,-15.39247137665673,-0.0014593273175453
-8.140907083654001,-15.39247137665673,-0.0011716547267702
-8.07249609975775,-15.39247137665673,-0.0008373263754214
-8.004085115861498,-15.39247137665673,-0.0004877073413252
-7.935674131965245,-15.39247137665673,-0.0001549312108936
-7.867263148068993,-15.39247137665673,0.0001311040847518
-7.798852164172741,-15.39247137665673,0.0003455494987067
-7.730441180276489,-15.39247137665673,0.0004709704480244
-7.662030196380237,-15.39247137665673,0.0004990455070376
-7.593619212483985,-15.39247137665673,0.0004314364242096
-7.525208228587733,-15.39247137665673,0.0002797401802448
-7.45679724469148,-15.39247137665673,6.451508503102195e-05
-7.388386260795228,-15.39247137665673,-0.0001865441574968
-7.319975276898977,-15.39247137665673,-0.0004411302335332
-7.251564293002724,-15.39247137665673,-0.0006653289866123
-7.183153309106472,-15.39247137665673,-0.0008268440378725
-7.114742325210221,-15.39247137665673,-0.0008981535657218
-7.046331341313967,-15.39247137665673,-0.0008593140153457
-6.977920357417716,-15.39247137665673,-0.0007001521550056
-6.909509373521463,-15.39247137665673,-0.0004216366757599
-6.841098389625213,-15.39247137665673,-3.628935136237293e-05
-6.77268740572896,-15.39247137665673,0.0004324221617623
-6.704276421832707,-15.39247137665673,0.0009516795112756
-6.635865437936455,-15.39247137665673,0.0014817795558355
-6.567454454040203,-15.39247137665673,0.0019792758226347
-6.499043470143952,-15.39247137665673,0.0024005383253069
-6.430632486247699,-15.39247137665673,0.0027054340015804
-6.362221502351446,-15.39247137665673,0.0028608147359445
-6.293810518455195,-15.39247137665673,0.0028435115305572
-6.225399534558942,-15.39247137665673,0.0026425711971427
-6.156988550662692,-15.39247137665673,0.0022605329991631
-6.088577566766439,-15.39247137665673,0.0017136219586256
-6.020166582870185,-15.39247137665673,0.0010308263940208
-5.951755598973934,-15.39247137665673,0.0002519219292919
-5.883344615077681,-15.39247137665673,-0.000575405461236
