gamma_r,gamma_im,W
-4,-4,-1.297747220077769e-05
-3.982222222222222,-4,-1.368257576469474e-05
-3.964444444444444,-4,-1.417206001656578e-05
-3.946666666666665,-4,-1.441856364636821e-05
-3.928888888888889,-4,-1.439601600395791e-05
-3.911111111111112,-4,-1.408009717138303e-05
-3.893333333333334,-4,-1.344870238787424e-05
-3.875555555555556,-4,-1.248240314518638e-05
-3.857777777777778,-4,-1.116489674244326e-05
-3.84,-4,-9.483435715086248e-06
-3.822222222222222,-4,-7.429228352234036e-06
-3.804444444444444,-4,-4.99780150683478e-06
-3.786666666666667,-4,-2.189317094832942e-06
-3.768888888888889,-4,9.91165920704192e-07
-3.751111111111111,-4,4.533491656484996e-06
-3.733333333333333,-4,8.422276331750908e-06
-3.715555555555556,-4,1.26368519685903e-05
-3.697777777777778,-4,1.715128937307807e-05
-3.68,-4,2.193450366873945e-05
-3.662222222222222,-4,2.695044419542914e-05
-3.644444444444445,-4,3.215836903244153e-05
-3.626666666666667,-4,3.751320278864621e-05
-3.608888888888889,-4,4.296597466111587e-05
-3.591111111111111,-4,4.846433213508201e-05
-3.573333333333333,-4,5.395312412041778e-05
-3.555555555555556,-4,5.93750458310201e-05
-3.537777777777777,-4,6.467133634953861e-05
-3.52,-4,6.978251861444733e-05
-3.502222222222223,-4,7.464917054945494e-05
-3.484444444444445,-4,7.921271525246624e-05
-3.466666666666667,-4,8.341621759339708e-05
-3.448888888888889,-4,8.720517425224323e-05
-3.431111111111111,-4,9.052828417012836e-05
-3.413333333333333,-4,9.33381865895177e-05
-3.395555555555555,-4,9.559215432210666e-05
-3.377777777777778,-4,9.72527305945898e-05
-3.36,-4,9.828829876815226e-05
-3.342222222222222,-4,9.86735753862108e-05
-3.324444444444445,-4,9.839001835076137e-05
-3.306666666666666,-4,9.742614353053362e-05
-3.288888888888889,-4,9.577774473036816e-05
-3.271111111111111,-4,9.34480136645516e-05
-3.253333333333333,-4,9.044755833931042e-05
-3.235555555555555,-4,8.679432002261265e-05
-3.217777777777778,-4,8.25133907243647e-05
-3.2,-4,7.763673478979639e-05
-3.182222222222222,-4,7.220281978812323e-05
-3.164444444444444,-4,6.625616332522583e-05
-3.146666666666667,-4,5.984680369463253e-05
-3.128888888888889,-4,5.302970338132684e-05
-3.111111111111111,-4,4.586409532863544e-05
-3.093333333333334,-4,3.841278255571807e-05
-3.075555555555556,-4,3.074140216358897e-05
-3.057777777777778,-4,2.291766498852711e-05
-3.04,-4,1.501058215606875e-05
-3.022222222222222,-4,7.089689565037074e-06
-3.004444444444444,-4,-7.757190971556612e-07
-2.986666666666666,-4,-8.51734082109445e-06
-2.968888888888889,-4,-1.606858401502326e-05
-2.951111111111111,-4,-2.336525322453348e-05
