gamma_r,gamma_im,W
-4,-4,-1.330594679891224e-05
-3.981818181818181,-4,-1.307811934221175e-05
-3.963636363636364,-4,-1.281773564285857e-05
-3.945454545454545,-4,-1.252876833802377e-05
-3.927272727272728,-4,-1.221511291156892e-05
-3.909090909090909,-4,-1.188052299668442e-05
-3.89090909090909,-4,-1.152855347393562e-05
-3.872727272727273,-4,-1.116251228393506e-05
-3.854545454545455,-4,-1.07854216195982e-05
-3.836363636363636,-4,-1.039998890248064e-05
-3.818181818181817,-4,-1.00085876879107e-05
-3.8,-4,-9.613248391542157e-06
-3.781818181818182,-4,-9.215658491689076e-06
-3.763636363636364,-4,-8.81717164325171e-06
-3.745454545454545,-4,-8.41882494480221e-06
-3.727272727272728,-4,-8.021363434774498e-06
-3.709090909090909,-4,-7.625270758470061e-06
-3.690909090909091,-4,-7.23080484685629e-06
-3.672727272727273,-4,-6.838037381957287e-06
-3.654545454545454,-4,-6.446895791858406e-06
-3.636363636363637,-4,-6.057206520181967e-06
-3.618181818181818,-4,-5.668738348368986e-06
-3.6,-4,-5.281244611741854e-06
-3.581818181818182,-4,-4.894503238839724e-06
-3.563636363636363,-4,-4.508353654061416e-06
-3.545454545454546,-4,-4.122729712240748e-06
-3.527272727272728,-4,-3.737687975806818e-06
-3.509090909090909,-4,-3.353430796365781e-06
-3.490909090909091,-4,-2.970323818234396e-06
-3.472727272727273,-4,-2.588907677532505e-06
-3.454545454545455,-4,-2.20990382279355e-06
-3.436363636363637,-4,-1.83421452807487e-06
-3.418181818181818,-4,-1.462917304129483e-06
-3.4,-4,-1.097254034571947e-06
-3.381818181818182,-4,-7.386152701753326e-07
-3.363636363636364,-4,-3.885202038033326e-07
-3.345454545454546,-4,-4.859292022990846e-08
-3.327272727272727,-4,2.794644313080982e-07
-3.309090909090909,-4,5.93900858334102e-07
-3.290909090909091,-4,8.929474383481109e-07
-3.272727272727272,-4,1.174849220322194e-06
-3.254545454545455,-4,1.437897423852033e-06
-3.236363636363636,-4,1.68046127179079e-06
-3.218181818181818,-4,1.901018830284126e-06
-3.2,-4,2.098186277826338e-06
-3.181818181818182,-4,2.270745080449788e-06
-3.163636363636364,-4,2.417666611381971e-06
-3.145454545454545,-4,2.538133818723713e-06
-3.127272727272727,-4,2.631559612128538e-06
-3.109090909090909,-4,2.697601707638576e-06
-3.090909090909091,-4,2.736173737330473e-06
-3.072727272727272,-4,2.74745249625836e-06
-3.054545454545455,-4,2.731881262332321e-06
-3.036363636363636,-4,2.690169184687725e-06
-3.018181818181819,-4,2.623286792187258e-06
-3,-4,2.532457725867504e-06
-2.981818181818182,-4,2.419146847048775e-06
-2.963636363636364,-4,2.285044916572778e-06
-2.945454545454545,-4,2.132050080485106e-06
-2.927272727272728,-4,1.962246433084671e-06
-2.909090909090909,-4,1.777879960485297e-06
-2.890909090909091,-4,1.58133219610961e-06
-2.872727272727273,-4,1.375091944483241e-06
-2.854545454545454,-4,1.161725451279446e-06
-2.836363636363636,-4,9.438454154361634e-07
-2.818181818181818,-4,7.240792537553937e-07
-2.8,-4,5.050370391466185e-07
-2.781818181818181,-4,2.892795404154406e-07
-2.763636363636364,-4,7.92867941039672e-08
-2.745454545454545,-4,-1.225723632685739e-07
-2.727272727272728,-4,-3.140693812044641e-07
-2.709090909090909,-4,-4.931432904542386e-07
-2.690909090909092,-4,-6.579258165268376e-07
-2.672727272727273,-4,-8.067639442139383e-07
-2.654545454545454,-4,-9.382395957311612e-07
-2.636363636363637,-4,-1.051186120741161e-06
-2.618181818181818,-4,-1.144701338123467e-06
-2.6,-4,-1.218156916365581e-06
-2.581818181818182,-4,-1.271203931413475e-06
-2.563636363636363,-4,-1.303774497207092e-06
-2.545454545454545,-4,-1.316079423893803e-06
-2.527272727272728,-4,-1.308601920806112e-06
-2.509090909090909,-4,-1.282087424882452e-06
-2.490909090909091,-4,-1.237529698534666e-06
-2.472727272727273,-4,-1.176153403034312e-06
-2.454545454545455,-4,-1.099393412672667e-06
-2.436363636363637,-4,-1.008871190050532e-06
-2.418181818181818,-4,-9.06368592083876e-07
-2.4,-4,-7.937995189229672e-07
-2.381818181818182,-4,-6.731798523065765e-07
-2.363636363636364,-4,-5.465961551499211e-07
-2.345454545454546,-4,-4.16173619542206e-07
-2.327272727272727,-4,-2.84043755131178e-07
