gamma_r,gamma_im,W
-14.77602791224193,-14.77602791224193,0.0006350705829087
-14.70886414900446,-14.77602791224193,0.0005397323347523
-14.641700385767,-14.77602791224193,0.0004257469493774
-14.57453662252954,-14.77602791224193,0.0002824707377122
-14.50737285929207,-14.77602791224193,0.0001011294800968
-14.44020909605461,-14.77602791224193,-0.0001242470271304
-14.37304533281715,-14.77602791224193,-0.0003960874481087
-14.30588156957968,-14.77602791224193,-0.0007128051603557
-14.23871780634222,-14.77602791224193,-0.0010686367283221
-14.17155404310476,-14.77602791224193,-0.0014538182501226
-14.10439027986729,-14.77602791224193,-0.0018550995701782
-14.03722651662983,-14.77602791224193,-0.0022565697205613
-13.97006275339237,-14.77602791224193,-0.0026407413964108
-13.9028989901549,-14.77602791224193,-0.0029898198185701
-13.83573522691744,-14.77602791224193,-0.0032870638531486
-13.76857146367998,-14.77602791224193,-0.0035181362861644
-13.70140770044251,-14.77602791224193,-0.0036723367836148
-13.63424393720505,-14.77602791224193,-0.0037436158432201
-13.56708017396759,-14.77602791224193,-0.0037312808917133
-13.49991641073012,-14.77602791224193,-0.0036403259017601
-13.43275264749266,-14.77602791224193,-0.0034813422026288
-13.3655888842552,-14.77602791224193,-0.0032699987323368
-13.29842512101773,-14.77602791224193,-0.0030261126289691
-13.23126135778027,-14.77602791224193,-0.0027723633533719
-13.16409759454281,-14.77602791224193,-0.0025327329872347
-13.09693383130534,-14.77602791224193,-0.0023307796059622
-13.02977006806788,-14.77602791224193,-0.0021878676486538
-12.96260630483042,-14.77602791224193,-0.0021214874453767
-12.89544254159296,-14.77602791224193,-0.0021437945784305
-12.82827877835549,-14.77602791224193,-0.0022604883206052
-12.76111501511803,-14.77602791224193,-0.00247012752617
-12.69395125188056,-14.77602791224193,-0.0027639532963474
-12.6267874886431,-14.77602791224193,-0.0031262524041811
-12.55962372540564,-14.77602791224193,-0.0035352562817823
-12.49245996216818,-14.77602791224193,-0.0039645301495891
-12.42529619893071,-14.77602791224193,-0.004384768572465
-12.35813243569325,-14.77602791224193,-0.0047658802798806
-12.29096867245578,-14.77602791224193,-0.0050792191349407
-12.22380490921832,-14.77602791224193,-0.0052998018514129
-12.15664114598086,-14.77602791224193,-0.005408347960414
-12.0894773827434,-14.77602791224193,-0.0053929843582789
-12.02231361950593,-14.77602791224193,-0.0052504754061176
-11.95514985626847,-14.77602791224193,-0.0049868690091383
-11.887986093031,-14.77602791224193,-0.004617487567195
-11.82082232979354,-14.77602791224193,-0.0041662376338304
-11.75365856655608,-14.77602791224193,-0.0036642604820126
-11.68649480331862,-14.77602791224193,-0.0031479941501167
-11.61933104008115,-14.77602791224193,-0.0026567624371718
-11.55216727684369,-14.77602791224193,-0.0022300443958446
-11.48500351360622,-14.77602791224193,-0.0019046062032929
-11.41783975036876,-14.77602791224193,-0.0017116935676976
-11.3506759871313,-14.77602791224193,-0.0016744855526508
-11.28351222389384,-14.77602791224193,-0.001805999305794
-11.21634846065637,-14.77602791224193,-0.0021076100891051
-11.14918469741891,-14.77602791224193,-0.0025683136371094
-11.08202093418144,-14.77602791224193,-0.0031648105308005
-11.01485717094398,-14.77602791224193,-0.0038624380407193
-10.94769340770652,-14.77602791224193,-0.0046169173870059
-10.88052964446906,-14.77602791224193,-0.00537682751824
-10.81336588123159,-14.77602791224193,-0.0060866642891569
-10.74620211799413,-14.77602791224193,-0.0066903000391382
-10.67903835475666,-14.77602791224193,-0.0071346262464146
-10.6118745915192,-14.77602791224193,-0.0073731436200278
-10.54471082828174,-14.77602791224193,-0.0073692612265164
-10.47754706504428,-14.77602791224193,-0.0070990795150349
-10.41038330180681,-14.77602791224193,-0.0065534607890572
-10.34321953856935,-14.77602791224193,-0.0057392330910551
