gamma_r,gamma_im,W
-4,-4,0.0001304548298265
-3.981818181818181,-4,0.0001283386145535
-3.963636363636364,-4,0.0001258135988336
-3.945454545454545,-4,0.0001228687601068
-3.927272727272728,-4,0.0001194942980087
-3.909090909090909,-4,0.0001156817545552
-3.89090909090909,-4,0.0001114241342242
-3.872727272727273,-4,0.000106716023207
-3.854545454545455,-4,0.0001015537070524
-3.836363636363636,-4,9.59352858923261e-05
-3.818181818181817,-4,8.986078639546486e-05
-3.8,-4,8.333226956711668e-05
-3.781818181818182,-4,7.63539334770931e-05
-3.763636363636364,-4,6.893220997684941e-05
-3.745454545454545,-4,6.107585444360943e-05
-3.727272727272728,-4,5.279602757448376e-05
-3.709090909090909,-4,4.410636824385634e-05
-3.690909090909091,-4,3.502305643401488e-05
-3.672727272727273,-4,2.556486525246634e-05
-3.654545454545454,-4,1.575320106017454e-05
-3.636363636363637,-4,5.612130753338746e-06
-3.618181818181818,-4,-4.831604732140445e-06
-3.6,-4,-1.554859158944476e-05
-3.581818181818182,-4,-2.65067598351684e-05
-3.563636363636363,-4,-3.767141632881895e-05
-3.545454545454546,-4,-4.900529485524754e-05
-3.527272727272728,-4,-6.046862393657856e-05
-3.509090909090909,-4,-7.201921295953403e-05
-3.490909090909091,-4,-8.361255711399949e-05
-3.472727272727273,-4,-9.52019615392152e-05
-3.454545454545455,-4,-0.0001067386849653
-3.436363636363637,-4,-0.0001181721030206
-3.418181818181818,-4,-0.0001294498912478
-3.4,-4,-0.00014051822774
-3.381818181818182,-4,-0.0001513220151626
-3.363636363636364,-4,-0.0001618051217802
-3.345454545454546,-4,-0.0001719106409518
-3.327272727272727,-4,-0.0001815811683964
-3.309090909090909,-4,-0.000190759096366
-3.290909090909091,-4,-0.0001993869236949
-3.272727272727272,-4,-0.0002074075805229
-3.254545454545455,-4,-0.0002147647663177
-3.236363636363636,-4,-0.0002214032996513
-3.218181818181818,-4,-0.0002272694780143
-3.2,-4,-0.0002323114457853
-3.181818181818182,-4,-0.0002364795683127
-3.163636363636364,-4,-0.000239726809908
-3.145454545454545,-4,-0.0002420091134041
-3.127272727272727,-4,-0.0002432857787956
-3.109090909090909,-4,-0.00024351983835
-3.090909090909091,-4,-0.0002426784254681
-3.072727272727272,-4,-0.000240733134473
-3.054545454545455,-4,-0.0002376603684279
-3.036363636363636,-4,-0.0002334416720191
-3.018181818181819,-4,-0.0002280640464986
-3,-4,-0.0002215202436609
-2.981818181818182,-4,-0.0002138090358288
-2.963636363636364,-4,-0.0002049354588509
-2.945454545454545,-4,-0.000194911025164
-2.927272727272728,-4,-0.0001837539040522
-2.909090909090909,-4,-0.0001714890663387
-2.890909090909091,-4,-0.0001581483908803
-2.872727272727273,-4,-0.0001437707303939
-2.854545454545454,-4,-0.0001284019343353
-2.836363636363636,-4,-0.0001120948267662
-2.818181818181818,-4,-9.490913739025626e-05
-2.8,-4,-7.691138421452541e-05
-2.781818181818181,-4,-5.817470658593821e-05
-2.763636363636364,-4,-3.877864768016083e-05
-2.745454545454545,-4,-1.880888586500032e-05
-2.727272727272728,-4,1.643085270389283e-06
-2.709090909090909,-4,2.248032804131497e-05
-2.690909090909092,-4,4.360088236401705e-05
-2.672727272727273,-4,6.489823701907436e-05
-2.654545454545454,-4,8.626184904712348e-05
-2.636363636363637,-4,0.0001075777094034
-2.618181818181818,-4,0.0001287289525543
-2.6,-4,0.0001495965072544
-2.581818181818182,-4,0.0001700597853014
-2.563636363636363,-4,0.0001899974046332
-2.545454545454545,-4,0.0002092879427066
-2.527272727272728,-4,0.0002278107156937
-2.509090909090909,-4,0.0002454465786419
-2.490909090909091,-4,0.000262078741384
-2.472727272727273,-4,0.0002775935946528
-2.454545454545455,-4,0.0002918815405518
-2.436363636363637,-4,0.0003048378212759
-2.418181818181818,-4,0.000316363339755
-2.4,-4,0.0003263654657178
-2.381818181818182,-4,0.0003347588205497
-2.363636363636364,-4,0.0003414660342475
-2.345454545454546,-4,0.0003464184677537
-2.327272727272727,-4,0.0003495568939959
-2.309090909090909,-4,0.0003508321310604
-2.290909090909091,-4,0.0003502056210855
-2.272727272727272,-4,0.0003476499486921
-2.254545454545455,-4,0.0003431492930532
-2.236363636363636,-4,0.0003366998080554
-2.218181818181819,-4,0.0003283099254196
-2.2,-4,0.0003180005761215
-2.181818181818182,-4,0.0003058053259821
-2.163636363636364,-4,0.0002917704218899
-2.145454545454545,-4,0.0002759547457512
-2.127272727272727,-4,0.0002584296739563
-2.109090909090909,-4,0.0002392788408771
-2.090909090909091,-4,0.0002185978056813
-2.072727272727272,-4,0.0001964936225479
-2.054545454545455,-4,0.0001730843151925
-2.036363636363636,-4,0.0001484982574556
-2.018181818181818,-4,0.0001228734625585
-2,-4,9.635678448938592e-05
-1.981818181818182,-4,6.910303582997307e-05
-1.963636363636364,-4,4.127402717204983e-05
-1.945454545454545,-4,1.303753408403785e-05
-1.927272727272728,-4,-1.543380162827146e-05
-1.909090909090909,-4,-4.396362888156663e-05
-1.890909090909091,-4,-7.237309431636564e-05
-1.872727272727273,-4,-0.000100482090524
-1.854545454545454,-4,-0.0001281105361119
-1.836363636363636,-4,-0.0001550796777185
-1.818181818181818,-4,-0.000181213403672
-1.8,-4,-0.0002063395586486
-1.781818181818182,-4,-0.0002302912484456
-1.763636363636364,-4,-0.0002529081238368
-1.745454545454546,-4,-0.0002740376324312
-1.727272727272727,-4,-0.000293536227513
-1.709090909090909,-4,-0.0003112705230027
-1.690909090909091,-4,-0.0003271183839495
-1.672727272727273,-4,-0.0003409699423402
-1.654545454545454,-4,-0.0003527285284878
-1.636363636363636,-4,-0.0003623115088518
-1.618181818181818,-4,-0.0003696510218196
-1.6,-4,-0.0003746946037587
-1.581818181818182,-4,-0.0003774056985152
-1.563636363636363,-4,-0.0003777640444815
-1.545454545454545,-4,-0.0003757659343773
-1.527272727272727,-4,-0.000371424343978
-1.50909090909091,-4,-0.0003647689271611
-1.49090909090909,-4,-0.0003558458758337
-1.472727272727273,-4,-0.0003447176445196
-1.454545454545455,-4,-0.0003314625406262
-1.436363636363637,-4,-0.0003161741826622
-1.418181818181818,-4,-0.0002989608299214
-1.4,-4,-0.0002799445883766
-1.381818181818182,-4,-0.000259260498727
-1.363636363636364,-4,-0.0002370555136975
-1.345454545454546,-4,-0.0002134873727895
-1.327272727272727,-4,-0.0001887233837148
-1.309090909090909,-4,-0.0001629391206967
-1.290909090909091,-4,-0.000136317050688
-1.272727272727273,-4,-0.0001090450993127
-1.254545454545454,-4,-8.131516899456405e-05
-1.236363636363636,-4,-5.332162226772072e-05
-1.218181818181818,-4,-2.525974367344417e-05
-1.2,-4,2.675806074199178e-06
-1.181818181818182,-4,3.029252982751615e-05
-1.163636363636364,-4,5.740161381758182e-05
-1.145454545454546,-4,8.381941384150518e-05
-1.127272727272727,-4,0.0001093688943984
-1.109090909090909,-4,0.0001338810077575
-1.090909090909091,-4,0.0001571960004838
-1.072727272727272,-4,0.0001791646356207
-1.054545454545455,-4,0.00019964931952
-1.036363636363636,-4,0.0002185251232229
-1.018181818181818,-4,0.0002356806893071
-1,-4,0.0002510190162264
-0.981818181818182,-4,0.0002644581133637
-0.9636363636363638,-4,0.0002759315212818
-0.9454545454545452,-4,0.0002853886929807
-0.9272727272727276,-4,0.0002927952333356
-0.9090909090909092,-4,0.0002981329952863
-0.8909090909090909,-4,0.0003014000327567
-0.8727272727272728,-4,0.0003026104116936
-0.8545454545454545,-4,0.0003017938820035
-0.8363636363636362,-4,0.000298995414526
-0.8181818181818183,-4,0.0002942746084985
-0.7999999999999998,-4,0.0002877049762137
-0.7818181818181815,-4,0.0002793731127553
-0.7636363636363637,-4,0.0002693777597827
-0.7454545454545458,-4,0.0002578287733302
-0.7272727272727268,-4,0.0002448460064658
-0.709090909090909,-4,0.0002305581184182
-0.6909090909090911,-4,0.000215101322417
-0.6727272727272728,-4,0.0001986180849902
-0.6545454545454545,-4,0.0001812557898309
-0.6363636363636365,-4,0.0001631653795634
-0.6181818181818182,-4,0.0001444999888184
-0.5999999999999999,-4,0.0001254135819638
-0.581818181818182,-4,0.0001060596086272
-0.5636363636363635,-4,8.658968980385829e-05
-0.5454545454545452,-4,6.715234686424639e-05
-0.5272727272727273,-4,4.789178516830051e-05
-0.5090909090909095,-4,2.89467432692282e-05
-0.4909090909090905,-4,1.044941785377152e-05
-0.4727272727272726,-4,-7.475526369345366e-06
-0.4545454545454548,-4,-2.471185364442659e-05
-0.4363636363636365,-4,-4.115255391802944e-05
-0.418181818181818,-4,-5.670053343491914e-05
-0.4000000000000001,-4,-7.126919446362555e-05
-0.3818181818181818,-4,-8.478290067927582e-05
-0.3636363636363635,-4,-9.71773259960762e-05
-0.3454545454545454,-4,-0.0001083996859116
-0.3272727272727271,-4,-0.0001184088516862
-0.3090909090909088,-4,-0.0001271753489164
-0.290909090909091,-4,-0.0001346812432624
-0.2727272727272731,-4,-0.0001409199172392
