galaxy,source,q_flag,fit_status,n_points,rho0_best,r0_best,v_inf_best,chi2_min,chi2_red
CamB,data/SPARC/Rotmod\CamB_rotmod.dat,2,boundary,9,0.6309573444801932,0.001,5.839627019598481e-06,85.26023476358465,12.18003353765495
D512-2,data/SPARC/Rotmod\D512-2_rotmod.dat,2,ok,4,26419371.42745843,1.012874308821193,38.273828385321124,0.16015256173672535,0.08007628086836267
D564-8,data/SPARC/Rotmod\D564-8_rotmod.dat,2,ok,6,8069036.97266065,1.7874019286870837,37.32657864340002,0.574155093255243,0.14353877331381076
D631-7,data/SPARC/Rotmod\D631-7_rotmod.dat,1,ok,16,6679026.679942107,6.42358947402639,122.04485514991971,32.118393081719134,2.2941709344085095
DDO064,data/SPARC/Rotmod\DDO064_rotmod.dat,1,ok,14,36152599.90110488,1.467799267622069,64.88159884880466,4.043744444763584,0.3369787037302987
DDO154,data/SPARC/Rotmod\DDO154_rotmod.dat,2,ok,12,21773210.96805398,1.7467156935212218,59.91955396877376,42.807053602985626,4.280705360298563
DDO161,data/SPARC/Rotmod\DDO161_rotmod.dat,1,ok,31,4109882.988566693,5.652261188829041,84.2407180950442,18.292796846976405,0.6307860981716001
DDO168,data/SPARC/Rotmod\DDO168_rotmod.dat,2,ok,10,18813977.493371576,2.8840315031266064,91.96560229241635,39.284561832799675,4.910570229099959
DDO170,data/SPARC/Rotmod\DDO170_rotmod.dat,2,ok,8,12032949.47144656,2.4736219916386197,63.08185984975734,8.396136038251154,1.3993560063751922
ESO079-G014,data/SPARC/Rotmod\ESO079-G014_rotmod.dat,1,ok,15,10397531.207814628,7.134003750712559,169.11555646603955,29.319687466577875,2.255360574352144
ESO116-G012,data/SPARC/Rotmod\ESO116-G012_rotmod.dat,1,ok,15,24662154.13765497,3.630780547701015,132.55637324364363,15.4516511846628,1.1885885526663693
ESO444-G084,data/SPARC/Rotmod\ESO444-G084_rotmod.dat,2,ok,7,119892136.00327535,0.909680507660532,73.22668047724412,4.666165156561745,0.933233031312349
ESO563-G021,data/SPARC/Rotmod\ESO563-G021_rotmod.dat,1,ok,30,13397962.555354586,10.471285480508996,281.7763175725322,407.19429585768245,14.542653423488659
F561-1,data/SPARC/Rotmod\F561-1_rotmod.dat,3,boundary,6,0.6397348354826481,0.001,5.8801053803163866e-06,3.7273968873168393,0.9318492218292098
F563-1,data/SPARC/Rotmod\F563-1_rotmod.dat,1,ok,17,46585210.476663254,2.285014124201237,114.65632809705676,8.765506507233301,0.5843671004822201
F563-V1,data/SPARC/Rotmod\F563-V1_rotmod.dat,3,ok,6,23178497022.53928,0.0013724609610075626,1.536129201256849,0.8697202897748693,0.21743007244371731
F563-V2,data/SPARC/Rotmod\F563-V2_rotmod.dat,1,ok,10,106309883.7896201,1.6895761786607704,128.070678051447,1.9548069950765052,0.24435087438456315
F565-V2,data/SPARC/Rotmod\F565-V2_rotmod.dat,2,ok,7,16970921.56825401,3.4762508743877074,105.28074115960078,0.36944488669932646,0.0738889773398653
F567-2,data/SPARC/Rotmod\F567-2_rotmod.dat,3,ok,5,7897477.042180815,2.1270503864781256,43.94475759392001,0.9285369367295213,0.30951231224317377
F568-1,data/SPARC/Rotmod\F568-1_rotmod.dat,1,ok,12,64026032.2652467,2.4799586776299734,145.8840623543904,1.770051385068167,0.1770051385068167
F568-3,data/SPARC/Rotmod\F568-3_rotmod.dat,1,ok,18,11089966.456625652,5.154923471082806,126.20380468792041,19.27918302234468,1.2049489388965424
F568-V1,data/SPARC/Rotmod\F568-V1_rotmod.dat,1,ok,15,119892136.00327535,1.482897425229925,119.3690037583631,1.5417460948067983,0.1185958534466768
F571-8,data/SPARC/Rotmod\F571-8_rotmod.dat,1,ok,13,9790879.496616116,11.248927328479361,258.7659169531914,514.2492649071048,46.749933173373165
F571-V1,data/SPARC/Rotmod\F571-V1_rotmod.dat,2,ok,7,11627554.186878186,3.7728250474469944,94.5792709650678,0.38858883939278194,0.07771776787855639
F574-1,data/SPARC/Rotmod\F574-1_rotmod.dat,1,ok,14,37740374.167162515,2.154434690031882,97.30194989670052,4.578080380351713,0.3815066983626427
F574-2,data/SPARC/Rotmod\F574-2_rotmod.dat,3,boundary,5,0.6309573444801932,0.001,5.839627019598481e-06,3.356988146203046,1.1189960487343487
F579-V1,data/SPARC/Rotmod\F579-V1_rotmod.dat,1,ok,14,611094714.0911962,0.4922913696391971,89.4667363716175,1.1170558500325145,0.09308798750270954
F583-1,data/SPARC/Rotmod\F583-1_rotmod.dat,1,ok,25,19640262.446262375,2.951209226666386,96.15209533381967,8.606293076366669,0.374186655494203
F583-4,data/SPARC/Rotmod\F583-4_rotmod.dat,1,ok,12,24348971.43305513,1.7113283041617795,62.08100698282395,3.4061400249315614,0.34061400249315615
IC2574,data/SPARC/Rotmod\IC2574_rotmod.dat,2,ok,34,2185263.8224960985,18.716395863694846,203.40389713109744,75.99965453277079,2.374989204149087
IC4202,data/SPARC/Rotmod\IC4202_rotmod.dat,1,ok,32,1624533.5399440527,452.4343346616744,4239.405959625826,1611.8529450255562,53.728431500851876
KK98-251,data/SPARC/Rotmod\KK98-251_rotmod.dat,2,ok,15,8606403.5371034,2.448436746822227,52.80619206214614,3.9892909500457496,0.30686853461890384
NGC0024,data/SPARC/Rotmod\NGC0024_rotmod.dat,1,ok,29,298160159.72831035,0.7922986006650867,100.57702942470078,10.38611963989393,0.3846710977738493
NGC0055,data/SPARC/Rotmod\NGC0055_rotmod.dat,2,ok,21,5771269.006598448,5.725030144912073,101.11103269042418,41.52674834370684,2.1856183338793076
NGC0100,data/SPARC/Rotmod\NGC0100_rotmod.dat,1,ok,21,8423418.380695058,6.277370726158548,133.93900649092504,6.807063928828113,0.3582665225699007
NGC0247,data/SPARC/Rotmod\NGC0247_rotmod.dat,2,ok,26,39226665.79496431,1.685259044750751,77.59656091020538,54.301305344526085,2.2625543893552535
NGC0289,data/SPARC/Rotmod\NGC0289_rotmod.dat,2,ok,28,3344098.567166306,12.783997194630237,171.86653090643566,71.08416651951185,2.73400640459661
NGC0300,data/SPARC/Rotmod\NGC0300_rotmod.dat,2,ok,25,20948227.745127723,3.2029897993437473,107.77407604940488,9.281020932328596,0.4035226492316781
NGC0801,data/SPARC/Rotmod\NGC0801_rotmod.dat,1,boundary,13,219323.5522733314,1584.893192461114,5456.670691330123,498.0642899895121,45.27857181722837
NGC0891,data/SPARC/Rotmod\NGC0891_rotmod.dat,1,boundary,18,0.6309573444801932,0.001,5.839627019598481e-06,3702.4594000942297,231.40371250588936
NGC1003,data/SPARC/Rotmod\NGC1003_rotmod.dat,1,ok,36,4986886.1950425105,7.842317924409981,128.74912390143248,83.99110111117021,2.470326503269712
NGC1090,data/SPARC/Rotmod\NGC1090_rotmod.dat,1,ok,24,1021358.7046450892,42.2236288651233,313.71104700960564,159.50373066399823,7.250169575636283
NGC1705,data/SPARC/Rotmod\NGC1705_rotmod.dat,3,ok,14,1225840903.0999603,0.26573235992720434,68.39850479553755,1.6052173633102156,0.13376811360918464
NGC2366,data/SPARC/Rotmod\NGC2366_rotmod.dat,3,ok,26,15241887.777412029,2.2330008525791927,64.09045843687419,49.459943169044784,2.060830965376866
NGC2403,data/SPARC/Rotmod\NGC2403_rotmod.dat,1,ok,73,16186288.87082331,4.973552042191397,147.10431750321814,1513.037568943183,21.31038829497441
NGC2683,data/SPARC/Rotmod\NGC2683_rotmod.dat,2,ok,11,1288111.5914429782,26.235472418731792,218.90251054755282,51.409017129980754,5.712113014442306
NGC2841,data/SPARC/Rotmod\NGC2841_rotmod.dat,1,ok,50,31917657.326151635,6.358187535472227,264.0790485245646,70.89013974892394,1.4768779114359154
NGC2903,data/SPARC/Rotmod\NGC2903_rotmod.dat,1,boundary,34,1529748.919228926,1584.893192461114,14411.035462123913,5974.202192912685,186.6938185285214
NGC2915,data/SPARC/Rotmod\NGC2915_rotmod.dat,2,ok,30,105847881.57755594,1.1900235488950854,90.00813233079177,30.24042369106556,1.0800151318237698
NGC2955,data/SPARC/Rotmod\NGC2955_rotmod.dat,1,boundary,24,0.6309573444801932,0.001,5.839627019598481e-06,1386.138212670614,63.00628239411881
NGC2976,data/SPARC/Rotmod\NGC2976_rotmod.dat,2,boundary,27,0.6309573444801932,0.001,5.839627019598481e-06,28.270373875713727,1.1308149550285491
NGC2998,data/SPARC/Rotmod\NGC2998_rotmod.dat,1,ok,13,2057762.9753391186,21.324992587926747,224.89079135479838,35.374814161125364,3.2158921964659424
NGC3109,data/SPARC/Rotmod\NGC3109_rotmod.dat,1,ok,25,16897169.222509556,3.1220829994678327,94.34883252089163,4.691380755935155,0.20397307634500675
NGC3198,data/SPARC/Rotmod\NGC3198_rotmod.dat,1,ok,43,3401895.198284852,12.177427582334149,165.1205513253691,321.96545522925675,7.852815981201384
NGC3521,data/SPARC/Rotmod\NGC3521_rotmod.dat,1,boundary,41,2433159.2962181787,1584.893192461114,18174.830976652866,1153.4092637485637,29.574596506373428
NGC3726,data/SPARC/Rotmod\NGC3726_rotmod.dat,2,boundary,12,520218.804259765,1584.893192461114,8403.846913843887,214.13831525858697,21.413831525858697
NGC3741,data/SPARC/Rotmod\NGC3741_rotmod.dat,1,ok,21,21773210.96805398,1.7467156935212218,59.91955396877376,10.667696994968578,0.5614577365772936
NGC3769,data/SPARC/Rotmod\NGC3769_rotmod.dat,2,ok,12,3954160.228210763,8.91250938133746,130.29034712169434,56.84288936023597,5.684288936023597
NGC3877,data/SPARC/Rotmod\NGC3877_rotmod.dat,2,boundary,13,0.6309573444801932,0.001,5.839627019598481e-06,278.2137844219623,25.292162220178394
NGC3893,data/SPARC/Rotmod\NGC3893_rotmod.dat,1,boundary,10,2281237.7129326756,1584.893192461114,17598.28637598397,122.57196478599033,15.321495598248791
NGC3917,data/SPARC/Rotmod\NGC3917_rotmod.dat,1,ok,17,16537909.847823093,3.763184883745222,112.5073706109989,26.822925670665416,1.7881950447110277
NGC3949,data/SPARC/Rotmod\NGC3949_rotmod.dat,2,boundary,7,0.6309573444801932,0.001,5.839627019598481e-06,196.61370624277245,39.32274124855449
NGC3953,data/SPARC/Rotmod\NGC3953_rotmod.dat,1,boundary,8,0.6309573444801932,0.001,5.839627019598481e-06,69.07293117977969,11.512155196629948
NGC3972,data/SPARC/Rotmod\NGC3972_rotmod.dat,1,ok,10,13986383.311294373,4.860340175990217,133.6301602449189,13.208231115118549,1.6510288893898186
NGC3992,data/SPARC/Rotmod\NGC3992_rotmod.dat,1,ok,9,5552596.6154466225,12.492997891187333,216.421218576224,8.044113458151157,1.1491590654501653
NGC4010,data/SPARC/Rotmod\NGC4010_rotmod.dat,2,ok,12,3551301.926056501,27.19220617357352,376.72405509541466,34.45265229275569,3.4452652292755688
NGC4013,data/SPARC/Rotmod\NGC4013_rotmod.dat,2,boundary,36,1239305.2645417044,1584.893192461114,12971.023813105796,540.9669149192837,15.91079161527305
NGC4051,data/SPARC/Rotmod\NGC4051_rotmod.dat,2,boundary,7,0.6309573444801932,0.001,5.839627019598481e-06,104.70544359698852,20.941088719397705
NGC4068,data/SPARC/Rotmod\NGC4068_rotmod.dat,2,boundary,6,5896640.502364018,1584.893192461114,28293.549544279078,4.732113545769982,1.1830283864424955
NGC4085,data/SPARC/Rotmod\NGC4085_rotmod.dat,2,boundary,7,0.6309573444801932,0.001,5.839627019598481e-06,219.17822683602103,43.83564536720421
