galaxy,source,q_flag,fit_status,n_points,rho_s_best,r_s_best,v_scale_best,chi2_min,chi2_red
CamB,data/SPARC/Rotmod\CamB_rotmod.dat,2,boundary,9,0.6309573444801932,0.0031622776601683794,8.11576187406671e-06,85.26023476355759,12.180033537651084
D512-2,data/SPARC/Rotmod\D512-2_rotmod.dat,2,ok,4,1101040.6602933602,12.542799944781668,42.52315406405012,0.3919915131333012,0.1959957565666506
D564-8,data/SPARC/Rotmod\D564-8_rotmod.dat,2,ok,6,3824.127592189072,1540.170523268297,307.72606984132716,5.36312616875416,1.34078154218854
D631-7,data/SPARC/Rotmod\D631-7_rotmod.dat,1,boundary,16,8857.267481782155,1584.893192461114,481.92468917863,124.66149009304442,8.904392149503172
DDO064,data/SPARC/Rotmod\DDO064_rotmod.dat,1,ok,14,13921.417345612936,1540.170523268297,587.1375141901281,6.9021243426423045,0.5751770285535254
DDO154,data/SPARC/Rotmod\DDO154_rotmod.dat,2,ok,12,746840.4255646132,26.27676308644617,73.36941733987089,167.53788875307984,16.753788875307983
DDO161,data/SPARC/Rotmod\DDO161_rotmod.dat,1,ok,31,16907.02310972211,618.3123927212885,259.75912939948455,61.48857281052146,2.1202956141559124
DDO168,data/SPARC/Rotmod\DDO168_rotmod.dat,2,ok,10,13329.840107498852,1522.2991328804203,567.860637772423,95.74621561878637,11.968276952348296
DDO170,data/SPARC/Rotmod\DDO170_rotmod.dat,2,ok,8,1101040.6602933602,16.89179650996627,57.26731420209884,13.65644576902912,2.2760742948381867
ESO079-G014,data/SPARC/Rotmod\ESO079-G014_rotmod.dat,1,ok,15,46546.27082522098,713.9531675954164,497.6700054864301,48.1574047785811,3.7044157521985466
ESO116-G012,data/SPARC/Rotmod\ESO116-G012_rotmod.dat,1,ok,15,25444.406552012373,1514.2808215434013,780.4262720377469,43.87752668810947,3.3751943606238055
ESO444-G084,data/SPARC/Rotmod\ESO444-G084_rotmod.dat,2,ok,7,3095726.5363298543,16.411097084456117,93.29281669479754,3.8218567802171655,0.7643713560434331
ESO563-G021,data/SPARC/Rotmod\ESO563-G021_rotmod.dat,1,ok,30,32944.594976255794,1562.3718435626004,916.2326964522254,482.67976354053485,17.23856298359053
