galaxy,source,q_flag,fit_status,n_points,vh_best,chi2_min,chi2_vh0,delta_chi2_vh0,vh_minus,vh_plus,vh_bs_p16,vh_bs_p50,vh_bs_p84,rho0_r0_1kpc
CamB,data/SPARC/Rotmod\CamB_rotmod.dat,2,boundary_zero,9,0.0,85.2602347635461,85.2602347635461,0.0,0.0,0.9363334883063141,0.0,0.0,0.0,0.0
D512-2,data/SPARC/Rotmod\D512-2_rotmod.dat,2,ok,4,22.66,5.657848818561196,43.22293319018362,37.56508437162242,2.269271484552018,2.1752613516039183,19.8,22.98,27.12,9500568.472378733
D564-8,data/SPARC/Rotmod\D564-8_rotmod.dat,2,ok,6,14.472750000000001,55.28700483877255,171.0846872765243,115.79768243775175,0.8676365382042395,0.8443785148391232,11.888,14.490000000000002,16.964499999999997,3875537.1274666367
D631-7,data/SPARC/Rotmod\D631-7_rotmod.dat,1,ok,16,29.76,699.3986443797471,1221.9606495647536,522.5620051850065,0.689453392619118,0.6838345177167184,23.8472,30.28,35.44,16386855.91269111
DDO064,data/SPARC/Rotmod\DDO064_rotmod.dat,1,ok,14,22.0,55.263745210426144,115.6132591723836,60.34951396195745,1.798630113896376,1.754826031554959,18.64709,22.450000000000003,26.3952,8955196.976509316
DDO154,data/SPARC/Rotmod\DDO154_rotmod.dat,2,ok,12,38.94,2311.688383413103,31045.999926036442,28734.311542623338,0.1013307015119338,0.1148925061541064,37.68,38.84,40.0832,28055736.60770603
DDO161,data/SPARC/Rotmod\DDO161_rotmod.dat,1,ok,31,49.260000000000005,1280.532893430718,4170.196237934003,2889.663344503285,0.33498542999725345,0.33547548209543265,47.034400000000005,49.28,51.126400000000004,44897131.67536351
DDO168,data/SPARC/Rotmod\DDO168_rotmod.dat,2,ok,10,30.8,402.7336379669702,1006.3475630063095,603.6139250393394,0.6508801848565362,0.6302168052465333,27.1136,31.369999999999997,35.5864,17552186.07395826
DDO170,data/SPARC/Rotmod\DDO170_rotmod.dat,2,ok,8,47.019999999999996,178.91716407465697,1518.3390006120244,1339.4218365373674,0.501386309840349,0.4974235130797595,44.78,46.82,48.6432,40906755.11054484
ESO079-G014,data/SPARC/Rotmod\ESO079-G014_rotmod.dat,1,ok,15,94.82,426.1254140247934,572.8452622718237,146.7198482470303,1.5350740431088639,1.508444593742297,83.8104,94.1,102.2696,166352634.5553347
