galaxy,source,q_flag,fit_status,n_points,vh_best,chi2_min,chi2_vh0,delta_chi2_vh0,vh_minus,vh_plus,vh_bs_p16,vh_bs_p50,vh_bs_p84,rho0_r0_1kpc
D631-7,data/SPARC/Rotmod\D631-7_rotmod.dat,1,ok,16,29.76,699.3986443797471,1221.9606495647536,522.5620051850065,0.689453392619118,0.6838345177167184,23.8472,30.28,35.44,16386855.91269111
DDO064,data/SPARC/Rotmod\DDO064_rotmod.dat,1,ok,14,22.0,55.263745210426144,115.6132591723836,60.34951396195745,1.798630113896376,1.754826031554959,18.64709,22.450000000000003,26.3952,8955196.976509316
DDO161,data/SPARC/Rotmod\DDO161_rotmod.dat,1,ok,31,49.260000000000005,1280.532893430718,4170.196237934003,2889.663344503285,0.33498542999725345,0.33547548209543265,47.034400000000005,49.28,51.126400000000004,44897131.67536351
ESO079-G014,data/SPARC/Rotmod\ESO079-G014_rotmod.dat,1,ok,15,94.82,426.1254140247934,572.8452622718237,146.7198482470303,1.5350740431088639,1.508444593742297,83.8104,94.1,102.2696,166352634.5553347
ESO116-G012,data/SPARC/Rotmod\ESO116-G012_rotmod.dat,1,ok,15,68.8,887.6274047382083,1253.3123056369318,365.6849008987235,0.9661747163725067,0.9514799176525202,58.9056,69.05,76.3728,87580346.23241374
ESO563-G021,data/SPARC/Rotmod\ESO563-G021_rotmod.dat,1,ok,30,90.4,1547.4694789636794,1584.57391959668,37.10444063300065,2.9995458610725763,2.92790069428591,57.492799999999995,89.24000000000001,117.62960000000001,151205170.50320324
F563-1,data/SPARC/Rotmod\F563-1_rotmod.dat,1,ok,17,74.48,117.76616636565923,163.59995666785312,45.83379030219389,2.8665288031813247,2.849107813733127,64.52,74.91,84.1584,102638221.30983393
F563-V2,data/SPARC/Rotmod\F563-V2_rotmod.dat,1,ok,10,54.22,91.79083200640997,111.05671956094089,19.26588755453092,4.323740439084901,4.213934434318752,41.1512,55.099999999999994,74.4032,54393725.81652208
F568-1,data/SPARC/Rotmod\F568-1_rotmod.dat,1,ok,12,79.72,123.56784059708839,152.96461204206392,29.396771444975528,3.597930114106802,3.5506626576772646,67.3336,79.64,93.6664,117588367.58792347
F568-3,data/SPARC/Rotmod\F568-3_rotmod.dat,1,ok,18,31.28,196.29594367260037,251.00830700891095,54.712363336310574,2.1273259564275087,2.037048228930665,25.287200000000002,32.28,52.940799999999996,18103530.168141764
F568-V1,data/SPARC/Rotmod\F568-V1_rotmod.dat,1,ok,15,89.53999999999999,23.741896235727804,67.96880619776924,44.22690996204143,2.9443304124988288,2.921651140882176,85.4736,90.03,94.06559999999999,148341942.39617914
F571-8,data/SPARC/Rotmod\F571-8_rotmod.dat,1,ok,13,57.74,1363.8069060930338,1434.606500910461,70.79959481742708,2.140790699706457,2.081854952636462,26.5584,56.14,77.07199999999999,61685535.6600856
F574-1,data/SPARC/Rotmod\F574-1_rotmod.dat,1,ok,14,62.42,254.07377534444947,395.9597513270424,141.88597598259292,1.5581694276044757,1.540109173745421,55.1536,62.46,70.556,72090379.20038238
F579-V1,data/SPARC/Rotmod\F579-V1_rotmod.dat,1,ok,14,74.4,24.121427256607223,50.71993237290502,26.598505116297797,3.6660421853409133,3.5882483000423377,67.29119999999999,74.50999999999999,81.5064,102417849.45431943
F583-1,data/SPARC/Rotmod\F583-1_rotmod.dat,1,ok,25,45.3,267.24695462140784,493.38936107748583,226.142406456078,1.230669578381331,1.2030029388174555,40.1504,45.410000000000004,51.115199999999994,37968740.007283054
F583-4,data/SPARC/Rotmod\F583-4_rotmod.dat,1,ok,12,37.04,72.52861859275727,147.84340098425696,75.31478239149969,1.948878977208878,1.8978727710073287,31.34,36.89,41.886399999999995,25384682.5872043
NGC0024,data/SPARC/Rotmod\NGC0024_rotmod.dat,1,ok,29,75.3,322.3911310298623,514.3236246711224,191.93249364126007,1.356808622052455,1.3546504996847943,67.488,74.63,81.1056,104910687.65399937
NGC0100,data/SPARC/Rotmod\NGC0100_rotmod.dat,1,ok,21,40.64,260.5790247078009,369.4185285439008,108.83950383609988,1.6119394718401452,1.573112021256243,33.644,40.599999999999994,47.4864,30558862.182425123
NGC1003,data/SPARC/Rotmod\NGC1003_rotmod.dat,1,ok,36,84.8,1414.0028643138844,3024.6882413438743,1610.68537702999,0.48103290629093465,0.46565578390610085,81.9936,84.72,87.9088,133052024.10321806
NGC1090,data/SPARC/Rotmod\NGC1090_rotmod.dat,1,ok,24,83.9,846.7804232558678,1072.9361371905356,226.1557139346678,1.2090879680393556,1.1993123266231862,75.8256,83.39,90.3752,130242793.61366558
NGC2403,data/SPARC/Rotmod\NGC2403_rotmod.dat,1,ok,73,83.52,31577.78791380194,48745.526746109696,17167.738832307754,0.14188683361609833,0.14250303906214867,76.64,83.29,88.3,129065673.6765442
NGC2841,data/SPARC/Rotmod\NGC2841_rotmod.dat,1,ok,50,219.38,927.3970910525904,1328.3329729864392,400.9358819338488,0.9711884002269073,0.9784265417927713,215.7904,218.8,221.8936,890479335.342101
