delta_em,li_scale,be_scale,D_over_H,Y_p,Li7_over_H,Be7_over_H,Li_total_over_H,D_z,Y_z,Li7_z,Li_total_z,passes_D,passes_Y,passes_Li7,passes_Li_total,passes_all_direct,passes_all_total
-0.0072,1.0,1.0,2.533414568331329e-05,0.24673,1.486347098858797e-10,1.265045809089267e-10,2.751392907948064e-10,0.2138189443776366,0.02371134020618639,0.30210613271355774,3.7786867998324642,True,True,True,False,True,False
-0.00719,1.0,1.0,2.5332967672927974e-05,0.2467305,1.4889504835790245e-10,1.2671348576653867e-10,2.7560853412444114e-10,0.20989224309324472,0.023762886597937585,0.2937081174870177,3.793823681433585,True,True,True,False,True,False
-0.00718,1.0,1.0,2.5331789717318864e-05,0.246731,1.4915584282112722e-10,1.269227356016939e-10,2.7607857842282116e-10,0.20596572439621236,0.023814432989691645,0.2852953928668637,3.8089864007361665,True,True,True,False,True,False
-0.00717,1.0,1.0,2.5330611816483414e-05,0.2467315,1.4941709407423716e-10,1.2713233098407523e-10,2.7654942505831237e-10,0.20203938827804657,0.023865979381442845,0.2768679330891237,3.824175001881044,True,True,True,False,True,False
-0.00716,1.0,1.0,2.532943397041908e-05,0.246732,1.496788029173145e-10,1.2734227248430615e-10,2.7702107540162066e-10,0.1981132347302657,0.023917525773196904,0.26842571234469376,3.8393895290845372,True,True,True,False,True,False
-0.00715,1.0,1.0,2.5328256179123317e-05,0.2467325,1.499409701518427e-10,1.2755256067395258e-10,2.774935308257953e-10,0.19418726374438822,0.0239690721649481,0.2599687047792674,3.8546300266385574,True,True,True,False,True,False
-0.00714,1.0,1.0,2.5327078442593577e-05,0.246733,1.502035965807093e-10,1.2776319612552423e-10,2.7796679270623355e-10,0.1902614753119211,0.02402061855670216,0.25149688449324853,3.8698965389107594,True,True,True,False,True,False
-0.00713,1.0,1.0,2.532590076082731e-05,0.2467335,1.5046668300820773e-10,1.2797417941247624e-10,2.7844086242068397e-10,0.1863358694243602,0.02407216494845336,0.24301022554168608,3.8851891103446436,True,True,True,False,True,False
-0.00712,1.0,1.0,2.5324723133821967e-05,0.246734,1.5073023024004047e-10,1.2818551110921077e-10,2.7891574134925126e-10,0.18241044607322388,0.02412371134020742,0.2345087019341783,3.900507785459718,True,True,True,False,True,False
-0.00711,1.0,1.0,2.532354556157501e-05,0.2467345,1.5099423908332116e-10,1.2839719179107847e-10,2.7939143087439966e-10,0.17848520525003053,0.024175257731958617,0.22599228763480103,3.9158526088516017,True,True,True,False,True,False
-0.0071,1.0,1.0,2.5322368044083893e-05,0.246735,1.5125871034657704e-10,1.286092220343801e-10,2.7986793238095716e-10,0.17456014694630978,0.024226804123712677,0.21746095656203088,3.931223625192166,True,True,True,False,True,False
-0.00709,1.0,1.0,2.532119058134606e-05,0.2467355,1.5152364483975163e-10,1.2882160241636817e-10,2.803452472561198e-10,0.17063527115353488,0.024278350515463877,0.20891468258865692,3.9466208792296706,True,True,True,False,True,False
-0.00708,1.0,1.0,2.5320013173358978e-05,0.246736,1.517890433742069e-10,1.2903433351524838e-10,2.8082337688945527e-10,0.16671057786325805,0.024329896907217936,0.2003534395417131,3.9620444157888794,True,True,True,False,True,False
-0.00707,1.0,1.0,2.5318835820120093e-05,0.2467365,1.520549067627262e-10,1.2924741591018132e-10,2.8130232267290753e-10,0.1627860670669751,0.024381443298969133,0.19177720120238081,3.9774942797712107,True,True,True,False,True,False
-0.00706,1.0,1.0,2.5317658521626855e-05,0.246737,1.5232123581951626e-10,1.2946085018128387e-10,2.8178208600080015e-10,0.15886173875618181,0.024432989690723193,0.183185941305927,3.9929705161548434,True,True,True,False,True,False
-0.00705,1.0,1.0,2.5316481277876733e-05,0.2467375,1.5258803136021009e-10,1.2967463690963102e-10,2.8226266826984113e-10,0.15493759292244175,0.02448453608247439,0.17457963354161,4.008473169994875,True,True,True,False,True,False
-0.00704,1.0,1.0,2.531530408886717e-05,0.246738,1.528552942018692e-10,1.2988877667725725e-10,2.8274407087912645e-10,0.15101362955722808,0.02453608247422845,0.16595825155260627,4.024002286423434,True,True,True,False,True,False
