gamma_exch,gamma_drain,eta_exch,Li7_exch,Be7_exch,Li7_final,Be7_final,Li_total_final,Li7_pass,LiTot_pass,passes_both
0.0,0.0,1.0,1.23e-10,9.95e-11,1.23e-10,9.95e-11,2.225e-10,False,False,False
0.0,0.125,1.0,1.23e-10,9.95e-11,1.0762499999999999e-10,8.70625e-11,1.946875e-10,False,False,False
0.0,0.25,1.0,1.23e-10,9.95e-11,9.224999999999999e-11,7.4625e-11,1.66875e-10,False,True,False
0.0,0.375,1.0,1.23e-10,9.95e-11,7.687499999999999e-11,6.21875e-11,1.390625e-10,False,True,False
0.0,0.5,1.0,1.23e-10,9.95e-11,6.15e-11,4.975e-11,1.1125e-10,False,False,False
0.25,0.0,1.0,1.47875e-10,7.4625e-11,1.47875e-10,7.4625e-11,2.225e-10,True,False,False
0.25,0.125,1.0,1.47875e-10,7.4625e-11,1.29390625e-10,6.5296875e-11,1.946875e-10,True,False,False
0.25,0.25,1.0,1.47875e-10,7.4625e-11,1.1090625e-10,5.5968750000000004e-11,1.66875e-10,False,True,False
0.25,0.375,1.0,1.47875e-10,7.4625e-11,9.242187499999999e-11,4.6640625e-11,1.390625e-10,False,True,False
0.25,0.5,1.0,1.47875e-10,7.4625e-11,7.39375e-11,3.73125e-11,1.1125e-10,False,False,False
0.5,0.0,1.0,1.7275e-10,4.975e-11,1.7275e-10,4.975e-11,2.225e-10,True,False,False
0.5,0.125,1.0,1.7275e-10,4.975e-11,1.5115625e-10,4.353125e-11,1.946875e-10,True,False,False
0.5,0.25,1.0,1.7275e-10,4.975e-11,1.2956249999999999e-10,3.73125e-11,1.6687499999999998e-10,True,True,True
0.5,0.375,1.0,1.7275e-10,4.975e-11,1.0796875e-10,3.109375e-11,1.390625e-10,False,True,False
0.5,0.5,1.0,1.7275e-10,4.975e-11,8.6375e-11,2.4875e-11,1.1125e-10,False,False,False
0.75,0.0,1.0,1.9762499999999998e-10,2.4875e-11,1.9762499999999998e-10,2.4875e-11,2.2249999999999998e-10,False,False,False
0.75,0.125,1.0,1.9762499999999998e-10,2.4875e-11,1.7292187499999999e-10,2.1765625e-11,1.9468749999999998e-10,True,False,False
0.75,0.25,1.0,1.9762499999999998e-10,2.4875e-11,1.4821875e-10,1.865625e-11,1.66875e-10,True,True,True
0.75,0.375,1.0,1.9762499999999998e-10,2.4875e-11,1.2351562499999998e-10,1.5546875e-11,1.3906249999999998e-10,False,True,False
0.75,0.5,1.0,1.9762499999999998e-10,2.4875e-11,9.881249999999999e-11,1.24375e-11,1.1124999999999999e-10,False,False,False
1.0,0.0,1.0,2.225e-10,0.0,2.225e-10,0.0,2.225e-10,False,False,False
1.0,0.125,1.0,2.225e-10,0.0,1.946875e-10,0.0,1.946875e-10,False,False,False
1.0,0.25,1.0,2.225e-10,0.0,1.66875e-10,0.0,1.66875e-10,True,True,True
1.0,0.375,1.0,2.225e-10,0.0,1.390625e-10,0.0,1.390625e-10,True,True,True
1.0,0.5,1.0,2.225e-10,0.0,1.1125e-10,0.0,1.1125e-10,False,False,False
