beta_e_phys,gamma_exch_phys,gamma_drain_phys,D_over_H,Y_p,Li7_over_H,Be7_over_H,Li_total_over_H,screening_eff,capture_eff,beta_response_ok,exchange_response_ok,drain_response_ok,chi_D,chi_Y,chi_Li7,chi_Li_total,passes_D,passes_Y,Li7_OK,Li_total_OK,A7_flipped,ACCEPTED,chi_sum
0.98,1.05,0.6,2.5272527e-05,0.24358000000000002,1.3031802325581393e-10,0.0,1.3031802325581393e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.015901162790696782,0.015901162790696782,True,True,True,True,True,True,0.045225658914722425
0.98,1.05,0.61,2.5272527e-05,0.24358000000000002,1.294151270207852e-10,0.0,1.294151270207852e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.0292436489607394,0.0292436489607394,True,True,True,True,True,True,0.07191063125480765
0.98,1.05,0.62,2.5272527e-05,0.24358000000000002,1.2852465596330274e-10,0.0,1.2852465596330274e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.07376720183486261,0.07376720183486261,True,True,True,True,True,True,0.1609577370030541
0.98,1.05,0.63,2.5272527e-05,0.24358000000000002,1.2764635535307516e-10,0.0,1.2764635535307516e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.11768223234624163,0.11768223234624163,True,True,True,True,True,True,0.24878779802581213
0.98,1.05,0.64,2.5272527e-05,0.24358000000000002,1.267799773755656e-10,0.0,1.267799773755656e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.16100113122171975,0.16100113122171975,True,True,True,True,True,True,0.33542559577676834
0.98,1.05,0.65,2.5272527e-05,0.24358000000000002,1.2592528089887638e-10,0.0,1.2592528089887638e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.2037359550561807,0.2037359550561807,True,True,True,True,True,True,0.42089524344569024
0.98,1.05,0.66,2.5272527e-05,0.24358000000000002,1.2508203124999997e-10,0.0,1.2508203124999997e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.24589843750000095,0.24589843750000095,True,True,True,True,True,True,0.5052202083333308
0.98,1.05,0.67,2.5272527e-05,0.24358000000000002,1.2424999999999998e-10,0.0,1.2424999999999998e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.2875000000000003,0.2875000000000003,True,True,True,True,True,True,0.5884233333333295
0.98,1.05,0.68,2.5272527e-05,0.24358000000000002,1.2342896475770923e-10,0.0,1.2342896475770923e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.32855176211453796,0.32855176211453796,True,True,True,True,True,True,0.6705268575624048
0.98,1.05,0.69,2.5272527e-05,0.24358000000000002,1.226187089715536e-10,0.0,1.226187089715536e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.3690645514223193,0.3690645514223193,True,True,True,True,True,True,0.7515524361779675
0.98,1.05,0.7,2.5272527e-05,0.24358000000000002,1.2181902173913044e-10,0.0,1.2181902173913044e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.4090489130434777,0.4090489130434777,True,True,True,True,True,True,0.8315211594202843
0.98,1.06,0.6,2.5272527e-05,0.24358000000000002,1.3095372093023256e-10,0.0,1.3095372093023256e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.0476860465116283,0.0476860465116283,True,True,True,True,True,True,0.10879542635658546
0.98,1.06,0.61,2.5272527e-05,0.24358000000000002,1.3004642032332562e-10,0.0,1.3004642032332562e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.002321016166281724,0.002321016166281724,True,True,True,True,True,True,0.018065365665892306
0.98,1.06,0.62,2.5272527e-05,0.24358000000000002,1.2915160550458716e-10,0.0,1.2915160550458716e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.042419724770641695,0.042419724770641695,True,True,True,True,True,True,0.09826278287461225
0.98,1.06,0.63,2.5272527e-05,0.24358000000000002,1.2826902050113894e-10,0.0,1.2826902050113894e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.08654897494305266,0.08654897494305266,True,True,True,True,True,True,0.18652128321943418
0.98,1.06,0.64,2.5272527e-05,0.24358000000000002,1.2739841628959276e-10,0.0,1.2739841628959276e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.13007918552036135,0.13007918552036135,True,True,True,True,True,True,0.27358170437405155
0.98,1.06,0.65,2.5272527e-05,0.24358000000000002,1.2653955056179775e-10,0.0,1.2653955056179775e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.17302247191011197,0.17302247191011197,True,True,True,True,True,True,0.3594682771535528
0.98,1.06,0.66,2.5272527e-05,0.24358000000000002,1.2569218749999998e-10,0.0,1.2569218749999998e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.2153906250000005,0.2153906250000005,True,True,True,True,True,True,0.44420458333332985
0.98,1.06,0.67,2.5272527e-05,0.24358000000000002,1.248560975609756e-10,0.0,1.248560975609756e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.25719512195121946,0.25719512195121946,True,True,True,True,True,True,0.5278135772357677
0.98,1.06,0.68,2.5272527e-05,0.24358000000000002,1.2403105726872246e-10,0.0,1.2403105726872246e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.2984471365638764,0.2984471365638764,True,True,True,True,True,True,0.6103176064610816
0.98,1.06,0.69,2.5272527e-05,0.24358000000000002,1.232168490153173e-10,0.0,1.232168490153173e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.33915754923413505,0.33915754923413505,True,True,True,True,True,True,0.6917384318015989
0.98,1.06,0.7,2.5272527e-05,0.24358000000000002,1.2241326086956523e-10,0.0,1.2241326086956523e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.37933695652173793,0.37933695652173793,True,True,True,True,True,True,0.7720972463768048
0.98,1.07,0.6,2.5272527e-05,0.24358000000000002,1.3158941860465119e-10,0.0,1.3158941860465119e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.07947093023255981,0.07947093023255981,True,True,True,True,True,True,0.1723651937984485
0.98,1.07,0.61,2.5272527e-05,0.24358000000000002,1.3067771362586607e-10,0.0,1.3067771362586607e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.03388568129330414,0.03388568129330414,True,True,True,True,True,True,0.08119469591993714
0.98,1.07,0.62,2.5272527e-05,0.24358000000000002,1.2977855504587157e-10,0.0,1.2977855504587157e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.01107224770642078,0.01107224770642078,True,True,True,True,True,True,0.03556782874617041
0.98,1.07,0.63,2.5272527e-05,0.24358000000000002,1.2889168564920274e-10,0.0,1.2889168564920274e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.05541571753986241,0.05541571753986241,True,True,True,True,True,True,0.12425476841305368
0.98,1.07,0.64,2.5272527e-05,0.24358000000000002,1.2801685520361993e-10,0.0,1.2801685520361993e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.09915723981900297,0.09915723981900297,True,True,True,True,True,True,0.21173781297133482
0.98,1.07,0.65,2.5272527e-05,0.24358000000000002,1.2715382022471913e-10,0.0,1.2715382022471913e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.14230898876404321,0.14230898876404321,True,True,True,True,True,True,0.2980413108614153
0.98,1.07,0.66,2.5272527e-05,0.24358000000000002,1.2630234375000002e-10,0.0,1.2630234375000002e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.18488281249999872,0.18488281249999872,True,True,True,True,True,True,0.3831889583333263
0.98,1.07,0.67,2.5272527e-05,0.24358000000000002,1.2546219512195124e-10,0.0,1.2546219512195124e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.22689024390243737,0.22689024390243737,True,True,True,True,True,True,0.4672038211382036
0.98,1.07,0.68,2.5272527e-05,0.24358000000000002,1.246331497797357e-10,0.0,1.246331497797357e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.2683425110132149,0.2683425110132149,True,True,True,True,True,True,0.5501083553597585
0.98,1.07,0.69,2.5272527e-05,0.24358000000000002,1.23814989059081e-10,0.0,1.23814989059081e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.30925054704594945,0.30925054704594945,True,True,True,True,True,True,0.6319244274252278
0.98,1.07,0.7,2.5272527e-05,0.24358000000000002,1.2300750000000003e-10,0.0,1.2300750000000003e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.3496249999999982,0.3496249999999982,True,True,True,True,True,True,0.7126733333333253
0.98,1.08,0.6,2.5272527e-05,0.24358000000000002,1.3222511627906977e-10,0.0,1.3222511627906977e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.11125581395348874,0.11125581395348874,True,True,True,True,True,True,0.23593496124030633
0.98,1.08,0.61,2.5272527e-05,0.24358000000000002,1.3130900692840647e-10,0.0,1.3130900692840647e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.06545034642032398,0.06545034642032398,True,True,True,True,True,True,0.14432402617397683
0.98,1.08,0.62,2.5272527e-05,0.24358000000000002,1.3040550458715597e-10,0.0,1.3040550458715597e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.02027522935779885,0.02027522935779885,True,True,True,True,True,True,0.05397379204892655
0.98,1.08,0.63,2.5272527e-05,0.24358000000000002,1.2951435079726652e-10,0.0,1.2951435079726652e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.024282460136673442,0.024282460136673442,True,True,True,True,True,True,0.061988253606675744
0.98,1.08,0.64,2.5272527e-05,0.24358000000000002,1.2863529411764705e-10,0.0,1.2863529411764705e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.06823529411764716,0.06823529411764716,True,True,True,True,True,True,0.1498939215686232
