beta_e_phys,gamma_exch_phys,gamma_drain_phys,D_over_H,Y_p,Li7_over_H,Be7_over_H,Li_total_over_H,screening_eff,capture_eff,beta_response_ok,exchange_response_ok,drain_response_ok,chi_D,chi_Y,chi_Li7,chi_Li_total,passes_D,passes_Y,Li7_OK,Li_total_OK,A7_flipped,ACCEPTED,chi_sum
0.7,0.0,0.0,2.5307905000000002e-05,0.24330000000000002,1.001e-10,0.0,1.001e-10,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,1.4949999999999999,1.4949999999999999,True,True,False,False,True,False,3.1913500000000052
0.7,0.0,0.05,2.5307905000000002e-05,0.24330000000000002,9.443396226415093e-11,0.0,9.443396226415093e-11,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,1.7783018867924532,1.7783018867924532,True,True,False,False,True,False,3.7579537735849122
0.7,0.0,0.1,2.5307905000000002e-05,0.24330000000000002,8.937499999999999e-11,0.0,8.937499999999999e-11,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,2.03125,2.03125,True,True,False,False,True,False,4.263850000000006
0.7,0.0,0.15,2.5307905000000002e-05,0.24330000000000002,8.483050847457627e-11,0.0,8.483050847457627e-11,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,2.2584745762711864,2.2584745762711864,True,True,False,False,True,False,4.718299152542379
0.7,0.0,0.2,2.5307905000000002e-05,0.24330000000000002,8.07258064516129e-11,0.0,8.07258064516129e-11,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,2.4637096774193545,2.4637096774193545,True,True,False,False,True,False,5.128769354838715
0.7,0.0,0.25,2.5307905000000002e-05,0.24330000000000002,7.699999999999999e-11,0.0,7.699999999999999e-11,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,2.65,2.65,True,True,False,False,True,False,5.501350000000006
0.7,0.0,0.3,2.5307905000000002e-05,0.24330000000000002,7.360294117647059e-11,0.0,7.360294117647059e-11,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,2.81985294117647,2.81985294117647,True,True,False,False,True,False,5.841055882352946
0.7,0.0,0.35,2.5307905000000002e-05,0.24330000000000002,7.049295774647887e-11,0.0,7.049295774647887e-11,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,2.975352112676056,2.975352112676056,True,True,False,False,True,False,6.152054225352118
0.7,0.0,0.4,2.5307905000000002e-05,0.24330000000000002,6.763513513513513e-11,0.0,6.763513513513513e-11,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,3.1182432432432434,3.1182432432432434,True,True,False,False,True,False,6.437836486486493
0.7,0.0,0.45,2.5307905000000002e-05,0.24330000000000002,6.5e-11,0.0,6.5e-11,0.94,0.91,True,True,True,0.12635000000000712,0.07499999999999868,3.25,3.25,True,True,False,False,True,False,6.701350000000006
