beta_e_phys,gamma_exch_phys,gamma_drain_phys,D_over_H,Y_p,Li7_over_H,Be7_over_H,Li_total_over_H,screening_eff,capture_eff,beta_response_ok,exchange_response_ok,drain_response_ok,chi_D,chi_Y,chi_Li7,chi_Li_total,passes_D,passes_Y,Li7_OK,Li_total_OK,A7_flipped,ACCEPTED,chi_sum
1.05,0.4,0.15,2.5263682500000002e-05,0.24365,1.3246610169491526e-10,0.0,1.3246610169491526e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.1233050847457635,0.1233050847457635,True,True,True,True,True,True,0.2801685028248526
1.05,0.4,0.17,2.5263682500000002e-05,0.24365,1.2982558139534884e-10,0.0,1.2982558139534884e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.008720930232557749,0.008720930232557749,True,True,True,True,True,True,0.05100019379844112
1.05,0.4,0.19,2.5263682500000002e-05,0.24365,1.2728827361563518e-10,0.0,1.2728827361563518e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.13558631921824055,0.13558631921824055,True,True,True,True,True,True,0.3047309717698067
1.05,0.4,0.21,2.5263682500000002e-05,0.24365,1.248482428115016e-10,0.0,1.248482428115016e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.2575878594249193,0.2575878594249193,True,True,True,True,True,True,0.5487340521831643
1.05,0.4,0.23,2.5263682500000002e-05,0.24365,1.225e-10,0.0,1.225e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.375,0.375,True,True,True,True,True,True,0.7835583333333256
1.05,0.4,0.25,2.5263682500000002e-05,0.24365,1.2023846153846154e-10,0.0,1.2023846153846154e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.4880769230769224,0.4880769230769224,True,True,True,True,True,True,1.0097121794871704
1.05,0.4,0.27,2.5263682500000002e-05,0.24365,1.1805891238670693e-10,0.0,1.1805891238670693e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.5970543806646529,0.5970543806646529,True,True,True,True,True,True,1.2276670946626314
1.05,0.4,0.29,2.5263682500000002e-05,0.24365,1.1595697329376856e-10,0.0,1.1595697329376856e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.7021513353115714,0.7021513353115714,True,True,True,True,True,True,1.4378610039564683
1.05,0.4,0.31,2.5263682500000002e-05,0.24365,1.1392857142857144e-10,0.0,1.1392857142857144e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.8035714285714278,0.8035714285714278,True,True,True,True,True,True,1.6407011904761812
1.05,0.4,0.33,2.5263682500000002e-05,0.24365,1.1196991404011462e-10,0.0,1.1196991404011462e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.9015042979942687,0.9015042979942687,True,True,True,True,True,True,1.836566929321863
1.05,0.4,0.35,2.5263682500000002e-05,0.24365,1.100774647887324e-10,0.0,1.100774647887324e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.9961267605633797,0.9961267605633797,True,True,True,True,True,True,2.025811854460085
1.05,0.42,0.15,2.5263682500000002e-05,0.24365,1.343584745762712e-10,0.0,1.343584745762712e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.21792372881356015,0.21792372881356015,True,True,True,True,True,True,0.4694057909604459
1.05,0.42,0.17,2.5263682500000002e-05,0.24365,1.3168023255813953e-10,0.0,1.3168023255813953e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.08401162790697712,0.08401162790697712,True,True,True,True,True,True,0.20158158914727986
1.05,0.42,0.19,2.5263682500000002e-05,0.24365,1.2910667752442997e-10,0.0,1.2910667752442997e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.044666123778501016,0.044666123778501016,True,True,True,True,True,True,0.12289058089032764
1.05,0.42,0.21,2.5263682500000002e-05,0.24365,1.266317891373802e-10,0.0,1.266317891373802e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.1684105431309897,0.1684105431309897,True,True,True,True,True,True,0.37037941959530496
1.05,0.42,0.23,2.5263682500000002e-05,0.24365,1.2425e-10,0.0,1.2425e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.28749999999999903,0.28749999999999903,True,True,True,True,True,True,0.6085583333333238
1.05,0.42,0.25,2.5263682500000002e-05,0.24365,1.2195615384615384e-10,0.0,1.2195615384615384e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.40219230769230746,0.40219230769230746,True,True,True,True,True,True,0.8379429487179406
1.05,0.42,0.27,2.5263682500000002e-05,0.24365,1.197454682779456e-10,0.0,1.197454682779456e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.5127265861027193,0.5127265861027193,True,True,True,True,True,True,1.059011505538764
1.05,0.42,0.29,2.5263682500000002e-05,0.24365,1.1761350148367954e-10,0.0,1.1761350148367954e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.6193249258160227,0.6193249258160227,True,True,True,True,True,True,1.272208184965371
1.05,0.42,0.31,2.5263682500000002e-05,0.24365,1.155561224489796e-10,0.0,1.155561224489796e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.7221938775510197,0.7221938775510197,True,True,True,True,True,True,1.477946088435365
1.05,0.42,0.33,2.5263682500000002e-05,0.24365,1.1356948424068769e-10,0.0,1.1356948424068769e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.821525787965615,0.821525787965615,True,True,True,True,True,True,1.6766099092645557
1.05,0.42,0.35,2.5263682500000002e-05,0.24365,1.1165000000000001e-10,0.0,1.1165000000000001e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.9174999999999991,0.9174999999999991,True,True,True,True,True,True,1.8685583333333238
1.05,0.44,0.15,2.5263682500000002e-05,0.24365,1.3625084745762713e-10,0.0,1.3625084745762713e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.31254237288135683,0.31254237288135683,True,True,True,True,True,True,0.6586430790960394
1.05,0.44,0.17,2.5263682500000002e-05,0.24365,1.3353488372093023e-10,0.0,1.3353488372093023e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.176744186046512,0.176744186046512,True,True,True,True,True,True,0.38704670542634956
1.05,0.44,0.19,2.5263682500000002e-05,0.24365,1.3092508143322476e-10,0.0,1.3092508143322476e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.046254071661238516,0.046254071661238516,True,True,True,True,True,True,0.12606647665580265
1.05,0.44,0.21,2.5263682500000002e-05,0.24365,1.284153354632588e-10,0.0,1.284153354632588e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.07923322683706008,0.07923322683706008,True,True,True,True,True,True,0.19202478700744577
1.05,0.44,0.23,2.5263682500000002e-05,0.24365,1.26e-10,0.0,1.26e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.19999999999999932,0.19999999999999932,True,True,True,True,True,True,0.4335583333333243
1.05,0.44,0.25,2.5263682500000002e-05,0.24365,1.2367384615384614e-10,0.0,1.2367384615384614e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.3163076923076925,0.3163076923076925,True,True,True,True,True,True,0.6661737179487106
1.05,0.44,0.27,2.5263682500000002e-05,0.24365,1.2143202416918428e-10,0.0,1.2143202416918428e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.42839879154078564,0.42839879154078564,True,True,True,True,True,True,0.8903559164148969
1.05,0.44,0.29,2.5263682500000002e-05,0.24365,1.1927002967359052e-10,0.0,1.1927002967359052e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.5364985163204735,0.5364985163204735,True,True,True,True,True,True,1.1065553659742726
1.05,0.44,0.31,2.5263682500000002e-05,0.24365,1.1718367346938777e-10,0.0,1.1718367346938777e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.640816326530611,0.640816326530611,True,True,True,True,True,True,1.3151909863945477
1.05,0.44,0.33,2.5263682500000002e-05,0.24365,1.1516905444126075e-10,0.0,1.1516905444126075e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.7415472779369621,0.7415472779369621,True,True,True,True,True,True,1.5166528892072497
1.05,0.44,0.35,2.5263682500000002e-05,0.24365,1.1322253521126761e-10,0.0,1.1322253521126761e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.8388732394366191,0.8388732394366191,True,True,True,True,True,True,1.7113048122065637
1.05,0.46,0.15,2.5263682500000002e-05,0.24365,1.3814322033898306e-10,0.0,1.3814322033898306e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.40716101694915346,0.40716101694915346,True,True,True,True,True,True,0.8478803672316326
1.05,0.46,0.17,2.5263682500000002e-05,0.24365,1.3538953488372093e-10,0.0,1.3538953488372093e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.26947674418604683,0.26947674418604683,True,True,True,True,True,True,0.5725118217054193
1.05,0.46,0.19,2.5263682500000002e-05,0.24365,1.3274348534201955e-10,0.0,1.3274348534201955e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.13717426710097805,0.13717426710097805,True,True,True,True,True,True,0.30790686753528174
1.05,0.46,0.21,2.5263682500000002e-05,0.24365,1.3019888178913738e-10,0.0,1.3019888178913738e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.00994408945686953,0.00994408945686953,True,True,True,True,True,True,0.053446512247064676
1.05,0.46,0.23,2.5263682500000002e-05,0.24365,1.2775e-10,0.0,1.2775e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.11249999999999961,0.11249999999999961,True,True,True,True,True,True,0.25855833333332484
1.05,0.46,0.25,2.5263682500000002e-05,0.24365,1.2539153846153847e-10,0.0,1.2539153846153847e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.23042307692307626,0.23042307692307626,True,True,True,True,True,True,0.49440448717947816
1.05,0.46,0.27,2.5263682500000002e-05,0.24365,1.2311858006042295e-10,0.0,1.2311858006042295e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.344070996978852,0.344070996978852,True,True,True,True,True,True,0.7217003272910296
1.05,0.46,0.29,2.5263682500000002e-05,0.24365,1.209265578635015e-10,0.0,1.209265578635015e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.4536721068249243,0.4536721068249243,True,True,True,True,True,True,0.9409025469831742
1.05,0.46,0.31,2.5263682500000002e-05,0.24365,1.1881122448979593e-10,0.0,1.1881122448979593e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.5594387755102029,0.5594387755102029,True,True,True,True,True,True,1.1524358843537315
1.05,0.46,0.33,2.5263682500000002e-05,0.24365,1.1676862464183382e-10,0.0,1.1676862464183382e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.6615687679083085,0.6615687679083085,True,True,True,True,True,True,1.3566958691499427
1.05,0.46,0.35,2.5263682500000002e-05,0.24365,1.1479507042253522e-10,0.0,1.1479507042253522e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.7602464788732385,0.7602464788732385,True,True,True,True,True,True,1.5540512910798026
1.05,0.48,0.15,2.5263682500000002e-05,0.24365,1.40035593220339e-10,0.0,1.40035593220339e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.5017796610169502,0.5017796610169502,True,True,True,True,True,True,1.0371176553672259
1.05,0.48,0.17,2.5263682500000002e-05,0.24365,1.3724418604651165e-10,0.0,1.3724418604651165e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.362209302325583,0.362209302325583,True,True,True,True,True,True,0.7579769379844916
1.05,0.48,0.19,2.5263682500000002e-05,0.24365,1.3456188925081434e-10,0.0,1.3456188925081434e-10,1.01,1.0150000000000001,True,True,True,0.021058333333326993,0.012499999999998623,0.22809446254071758,0.22809446254071758,True,True,True,True,True,True,0.4897472584147608
