B_eff,E_ind,best_fit_chi_sum,accepted_count,accepted_components,best_fit_beta_e_phys,best_fit_gamma_exch_phys,best_fit_gamma_drain_phys,best_fit_em_softness
0.0,-0.04,0.018199457889279725,567,9,1.01,1.13,0.68,1.0416666666666667
0.0,-0.02,0.006880865036999868,567,9,1.01,1.05,0.62,1.0204081632653061
0.0,0.0,0.0033936651583709823,567,9,1.0,1.09,0.64,1.0
0.0,0.02,0.011109715497600314,567,9,0.99,1.13,0.66,0.9803921568627451
0.0,0.04,0.018018126001843375,567,9,0.97,1.09,0.62,0.9615384615384615
0.0,0.06,0.02321763426666338,567,9,0.96,1.13,0.64,0.9433962264150942
0.0,0.08,0.03326307054842921,567,9,0.99,1.03,0.58,0.9259259259259258
0.02,-0.04,0.031962154957138646,567,9,1.04,1.09,0.66,1.0101010101010102
0.02,-0.02,0.026372053633326887,567,9,1.03,1.13,0.68,0.9900990099009901
0.02,0.0,0.015891125953514103,567,9,1.03,1.05,0.62,0.970873786407767
0.02,0.02,0.011426385319745392,567,9,1.02,1.09,0.64,0.9523809523809523
0.02,0.04,0.00370654263566538,567,9,1.0,1.05,0.6,0.9345794392523364
0.02,0.06,0.009377188702458444,567,9,0.99,1.09,0.62,0.9174311926605504
0.02,0.08,0.014815409089581165,567,9,0.98,1.13,0.64,0.9009009009009008
0.04,-0.04,0.05343495850740768,567,9,1.04,1.07,0.64,0.9803921568627451
0.04,-0.02,0.048296809258301585,567,9,1.01,1.15,0.68,0.9615384615384615
0.04,0.0,0.040316289881363584,567,9,1.01,1.07,0.62,0.9433962264150942
0.04,0.02,0.03279424582008243,567,9,1.03,1.09,0.64,0.9259259259259258
0.04,0.04,0.018524545803907132,567,9,1.04,1.09,0.64,0.9090909090909091
0.04,0.06,0.012663688950389065,567,9,1.02,1.05,0.6,0.8928571428571428
0.04,0.08,0.005267887837319773,567,9,1.01,1.09,0.62,0.8771929824561403
0.06,-0.04,0.07803715565308633,567,9,1.02,1.09,0.64,0.9523809523809523
0.06,-0.02,0.0657996379190438,567,9,1.04,1.11,0.66,0.9345794392523364
0.06,0.0,0.05787065986961182,567,9,1.03,1.15,0.68,0.9174311926605504
0.06,0.02,0.04793211761193708,567,9,1.03,1.07,0.62,0.9009009009009008
0.06,0.04,0.041469774538168844,567,9,1.02,1.11,0.64,0.8849557522123893
0.06,0.06,0.03518826402976133,567,9,1.01,1.15,0.66,0.8695652173913042
0.06,0.08,0.0232375226914867,567,9,1.04,1.05,0.6,0.8547008547008546
0.08,-0.04,0.09940459498672079,567,9,1.03,1.09,0.64,0.9259259259259258
0.08,-0.02,0.08512605047058609,567,9,1.04,1.09,0.64,0.9090909090909091
0.08,0.0,0.0792447469333303,567,9,1.03,1.13,0.66,0.8928571428571428
0.08,0.02,0.07188244867064955,567,9,1.01,1.09,0.62,0.8771929824561403
0.08,0.04,0.06698232880845283,567,9,1.0,1.13,0.64,0.8620689655172413
0.08,0.06,0.050994745254287745,567,9,1.04,1.11,0.64,0.8474576271186439
0.08,0.08,0.0453263430943418,567,9,1.04,1.03,0.58,0.8333333333333333
0.1,-0.04,0.11454246677857546,567,9,1.03,1.07,0.62,0.900900900900901
0.1,-0.02,0.10808222953814382,567,9,1.02,1.11,0.64,0.8849557522123894
0.1,0.0,0.10180282486309807,567,9,1.01,1.15,0.66,0.8695652173913044
0.1,0.02,0.0898457660248059,567,9,1.04,1.05,0.6,0.8547008547008548
0.1,0.04,0.08241692578411158,567,9,1.03,1.09,0.62,0.8403361344537815
0.1,0.06,0.07421378442445767,567,9,1.04,1.09,0.62,0.8264462809917356
0.1,0.08,0.06550709106666146,567,9,1.03,1.13,0.64,0.8130081300813008
0.12,-0.04,0.13849700950397498,567,9,1.01,1.09,0.62,0.8771929824561404
0.12,-0.02,0.13359899547511486,567,9,1.0,1.13,0.64,0.8620689655172414
0.12,0.0,0.11760298858763907,567,9,1.04,1.11,0.64,0.8474576271186441
0.12,0.02,0.11193458642768618,567,9,1.04,1.03,0.58,0.8333333333333334
0.12,0.04,0.1022141999905062,567,9,1.04,1.15,0.66,0.819672131147541
0.12,0.06,0.09652514233822489,567,9,1.02,1.11,0.62,0.8064516129032259
0.12,0.08,0.08641784147925688,567,9,1.03,1.05,0.58,0.7936507936507936
