beta_e_phys,gamma_exch_phys,gamma_drain_phys,B_eff,E_ind,em_scale,be7_scale,D_over_H,Y_p,Li7_over_H,Be7_over_H,Li_total_over_H,screening_eff,capture_eff,beta_response_ok,exchange_response_ok,drain_response_ok,chi_D,chi_Y,chi_Li7,chi_Li_total,passes_D,passes_Y,passes_Li7,passes_Li_total,passes_all,chi_sum,em_softness
0.96,1.03,0.56,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.3195e-10,0.0,1.3195e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.09750000000000018,0.09750000000000018,True,True,True,True,True,0.22184666666666503,1.0
0.96,1.03,0.58,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.3008278301886793e-10,0.0,1.3008278301886793e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.0041391509433968375,0.0041391509433968375,True,True,True,True,True,0.03512496855345833,1.0
0.96,1.03,0.6,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.2826767441860465e-10,0.0,1.2826767441860465e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.08661627906976699,0.08661627906976699,True,True,True,True,True,0.20007922480619864,1.0
0.96,1.03,0.62,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.265025229357798e-10,0.0,1.265025229357798e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.1748738532110091,0.1748738532110091,True,True,True,True,True,0.3765943730886828,1.0
0.96,1.03,0.64,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.2478529411764706e-10,0.0,1.2478529411764706e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.2607352941176468,0.2607352941176468,True,True,True,True,True,0.5483172549019582,1.0
0.96,1.03,0.66,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.231140625e-10,0.0,1.231140625e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.34429687499999934,0.34429687499999934,True,True,True,True,True,0.7154404166666632,1.0
0.96,1.03,0.68,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.2148700440528633e-10,0.0,1.2148700440528633e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.42564977973568296,0.42564977973568296,True,True,True,True,True,0.8781462261380306,1.0
0.96,1.03,0.7,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.1990239130434783e-10,0.0,1.1990239130434783e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.504880434782608,0.504880434782608,True,True,True,True,True,1.0366075362318807,1.0
0.96,1.03,0.72,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.1835858369098714e-10,0.0,1.1835858369098714e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.5820708154506424,0.5820708154506424,True,True,True,True,True,1.1909882975679495,1.0
0.96,1.05,0.56,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.3324999999999998e-10,0.0,1.3324999999999998e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.16249999999999945,0.16249999999999945,True,True,True,True,True,0.35184666666666353,1.0
0.96,1.05,0.58,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.3136438679245282e-10,0.0,1.3136438679245282e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.06821933962264125,0.06821933962264125,True,True,True,True,True,0.16328534591194716,1.0
0.96,1.05,0.6,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.295313953488372e-10,0.0,1.295313953488372e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.02343023255814014,0.02343023255814014,True,True,True,True,True,0.07370713178294494,1.0
0.96,1.05,0.62,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.2774885321100915e-10,0.0,1.2774885321100915e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.11255733944954208,0.11255733944954208,True,True,True,True,True,0.2519613455657488,1.0
0.96,1.05,0.64,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.2601470588235292e-10,0.0,1.2601470588235292e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.19926470588235348,0.19926470588235348,True,True,True,True,True,0.4253760784313716,1.0
0.96,1.05,0.66,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.243270089285714e-10,0.0,1.243270089285714e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.2836495535714295,0.2836495535714295,True,True,True,True,True,0.5941457738095237,1.0
0.96,1.05,0.68,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.226839207048458e-10,0.0,1.226839207048458e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.3658039647577099,0.3658039647577099,True,True,True,True,True,0.7584545961820843,1.0
0.96,1.05,0.7,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.210836956521739e-10,0.0,1.210836956521739e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.44581521739130403,0.44581521739130403,True,True,True,True,True,0.9184771014492727,1.0
