beta_e_phys,gamma_exch_phys,gamma_drain_phys,B_eff,E_ind,em_scale,be7_scale,D_over_H,Y_p,Li7_over_H,Be7_over_H,Li_total_over_H,screening_eff,capture_eff,beta_response_ok,exchange_response_ok,drain_response_ok,chi_D,chi_Y,chi_Li7,chi_Li_total,passes_D,passes_Y,passes_Li7,passes_Li_total,passes_all,chi_sum,em_softness
0.96,1.03,0.56,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.256164e-10,0.0,1.256164e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.21917999999999999,0.21917999999999999,True,True,True,True,True,0.6072319006666609,0.7142857142857142
0.96,1.03,0.58,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.2383880943396225e-10,0.0,1.2383880943396225e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.30805952830188693,0.30805952830188693,True,True,True,True,True,0.7849909572704348,0.7142857142857142
0.96,1.03,0.6,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.2211082604651162e-10,0.0,1.2211082604651162e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.39445869767441855,0.39445869767441855,True,True,True,True,True,0.957789296015498,0.7142857142857142
0.96,1.03,0.62,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.2043040183486236e-10,0.0,1.2043040183486236e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.47847990825688136,0.47847990825688136,True,True,True,True,True,1.1258317171804235,0.7142857142857142
0.96,1.03,0.64,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.1879559999999999e-10,0.0,1.1879559999999999e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.5602200000000003,0.5602200000000003,True,True,True,True,True,1.2893119006666613,0.7142857142857142
0.96,1.03,0.66,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.172045875e-10,0.0,1.172045875e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.6397706249999991,0.6397706249999991,True,True,True,True,True,1.448413150666659,0.7142857142857142
0.96,1.03,0.68,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.1565562819383259e-10,0.0,1.1565562819383259e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.7172185903083702,0.7172185903083702,True,True,True,True,True,1.6033090812834012,0.7142857142857142
0.96,1.03,0.7,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.1414707652173912e-10,0.0,1.1414707652173912e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.7926461739130434,0.7926461739130434,True,True,True,True,True,1.7541642484927475,0.7142857142857142
0.96,1.03,0.72,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.1267737167381976e-10,0.0,1.1267737167381976e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.8661314163090118,0.8661314163090118,True,True,True,True,True,1.9011347332846844,0.7142857142857142
0.96,1.05,0.56,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.2685399999999996e-10,0.0,1.2685399999999996e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.15730000000000136,0.15730000000000136,True,True,True,True,True,0.48347190066666357,0.7142857142857142
