beta_e_phys,gamma_exch_phys,gamma_drain_phys,B_eff,E_ind,em_scale,be7_scale,D_over_H,Y_p,Li7_over_H,Be7_over_H,Li_total_over_H,screening_eff,capture_eff,beta_response_ok,exchange_response_ok,drain_response_ok,chi_D,chi_Y,chi_Li7,chi_Li_total,passes_D,passes_Y,passes_Li7,passes_Li_total,passes_all,chi_sum,em_softness
0.96,1.03,0.56,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.192828e-10,0.0,1.192828e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.5358600000000001,0.5358600000000001,True,True,True,True,True,1.4026171346666705,0.5555555555555556
0.96,1.03,0.58,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.175948358490566e-10,0.0,1.175948358490566e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.6202582075471694,0.6202582075471694,True,True,True,True,True,1.5714135497610089,0.5555555555555556
0.96,1.03,0.6,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.159539776744186e-10,0.0,1.159539776744186e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.7023011162790694,0.7023011162790694,True,True,True,True,True,1.7354993672248091,0.5555555555555556
0.96,1.03,0.62,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.1435828073394495e-10,0.0,1.1435828073394495e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.7820859633027523,0.7820859633027523,True,True,True,True,True,1.8950690612721748,0.5555555555555556
0.96,1.03,0.64,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.1280590588235294e-10,0.0,1.1280590588235294e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.8597047058823525,0.8597047058823525,True,True,True,True,True,2.050306546431375,0.5555555555555556
0.96,1.03,0.66,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.1129511250000001e-10,0.0,1.1129511250000001e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.935244374999999,0.935244374999999,True,True,True,True,True,2.201385884666668,0.5555555555555556
0.96,1.03,0.68,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.0982425198237884e-10,0.0,1.0982425198237884e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,1.0087874008810573,1.0087874008810573,True,True,False,False,False,2.348471936428785,0.5555555555555556
0.96,1.03,0.7,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.0839176173913044e-10,0.0,1.0839176173913044e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,1.0804119130434775,1.0804119130434775,True,True,False,False,False,2.491720960753625,0.5555555555555556
0.96,1.03,0.72,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.0699615965665238e-10,0.0,1.0699615965665238e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,1.1501920171673805,1.1501920171673805,True,True,False,False,False,2.631281169001431,0.5555555555555556
0.96,1.05,0.56,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.2045799999999997e-10,0.0,1.2045799999999997e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.4771000000000009,0.4771000000000009,True,True,True,True,True,1.285097134666672,0.5555555555555556
0.96,1.05,0.58,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.1875340566037734e-10,0.0,1.1875340566037734e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.5623297169811325,0.5623297169811325,True,True,True,True,True,1.4555565686289351,0.5555555555555556
0.96,1.05,0.6,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.1709638139534882e-10,0.0,1.1709638139534882e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.6451809302325588,0.6451809302325588,True,True,True,True,True,1.6212589951317877,0.5555555555555556
0.96,1.05,0.62,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.1548496330275228e-10,0.0,1.1548496330275228e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.7257518348623856,0.7257518348623856,True,True,True,True,True,1.7824008043914414,0.5555555555555556
0.96,1.05,0.64,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.1391729411764705e-10,0.0,1.1391729411764705e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.8041352941176471,0.8041352941176471,True,True,True,True,True,1.9391677229019644,0.5555555555555556
0.96,1.05,0.66,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.1239161607142855e-10,0.0,1.1239161607142855e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.8804191964285722,0.8804191964285722,True,True,True,True,True,2.0917355275238148,0.5555555555555556
0.96,1.05,0.68,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.109062643171806e-10,0.0,1.109062643171806e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.9546867841409693,0.9546867841409693,True,True,True,True,True,2.240270702948609,0.5555555555555556
0.96,1.05,0.7,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.0945966086956522e-10,0.0,1.0945966086956522e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,1.0270169565217386,1.0270169565217386,True,True,False,False,False,2.3849310477101477,0.5555555555555556
0.96,1.05,0.72,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.0805030901287553e-10,0.0,1.0805030901287553e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,1.0974845493562233,1.0974845493562233,True,True,False,False,False,2.5258662333791166,0.5555555555555556
0.96,1.07,0.56,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.2163319999999998e-10,0.0,1.2163319999999998e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.4183400000000004,0.4183400000000004,True,True,True,True,True,1.1675771346666708,0.5555555555555556
0.96,1.07,0.58,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.1991197547169813e-10,0.0,1.1991197547169813e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.5044012264150932,0.5044012264150932,True,True,True,True,True,1.3396995874968565,0.5555555555555556
