beta_e_phys,gamma_exch_phys,gamma_drain_phys,D_over_H,Y_p,Li7_over_H,Be7_over_H,Li_total_over_H,screening_eff,capture_eff,beta_response_ok,exchange_response_ok,drain_response_ok,surface_name,surface_t,surface_weight,surface_capture_fraction,Li7_surface_over_H,Be7_surface_over_H,Li_total_surface_over_H,chi_D,chi_Y,chi_Li_total_surface,passes_D,passes_Y,passes_Li_total_surface,passes_all,chi_sum
0.96,1.03,0.56,2.5275054e-05,0.24356,1.3195e-10,0.0,1.3195e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.3195e-10,0.0,1.3195e-10,0.016846666666661594,0.010000000000003062,0.09750000000000018,True,True,True,True,0.12434666666666484
0.96,1.03,0.58,2.5275054e-05,0.24356,1.3008278301886793e-10,0.0,1.3008278301886793e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.3008278301886793e-10,0.0,1.3008278301886793e-10,0.016846666666661594,0.010000000000003062,0.0041391509433968375,True,True,True,True,0.030985817610061493
0.96,1.03,0.6,2.5275054e-05,0.24356,1.2826767441860465e-10,0.0,1.2826767441860465e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.2826767441860465e-10,0.0,1.2826767441860465e-10,0.016846666666661594,0.010000000000003062,0.08661627906976699,True,True,True,True,0.11346294573643165
0.96,1.03,0.62,2.5275054e-05,0.24356,1.265025229357798e-10,0.0,1.265025229357798e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.265025229357798e-10,0.0,1.265025229357798e-10,0.016846666666661594,0.010000000000003062,0.1748738532110091,True,True,True,True,0.20172051987767375
0.96,1.03,0.64,2.5275054e-05,0.24356,1.2478529411764706e-10,0.0,1.2478529411764706e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.2478529411764706e-10,0.0,1.2478529411764706e-10,0.016846666666661594,0.010000000000003062,0.2607352941176468,True,True,True,True,0.2875819607843114
0.96,1.03,0.66,2.5275054e-05,0.24356,1.231140625e-10,0.0,1.231140625e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.231140625e-10,0.0,1.231140625e-10,0.016846666666661594,0.010000000000003062,0.34429687499999934,True,True,True,True,0.37114354166666397
0.96,1.03,0.68,2.5275054e-05,0.24356,1.2148700440528633e-10,0.0,1.2148700440528633e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.2148700440528633e-10,0.0,1.2148700440528633e-10,0.016846666666661594,0.010000000000003062,0.42564977973568296,True,True,True,True,0.4524964464023476
0.96,1.03,0.7,2.5275054e-05,0.24356,1.1990239130434783e-10,0.0,1.1990239130434783e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.1990239130434783e-10,0.0,1.1990239130434783e-10,0.016846666666661594,0.010000000000003062,0.504880434782608,True,True,True,True,0.5317271014492727
0.96,1.03,0.72,2.5275054e-05,0.24356,1.1835858369098714e-10,0.0,1.1835858369098714e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.1835858369098714e-10,0.0,1.1835858369098714e-10,0.016846666666661594,0.010000000000003062,0.5820708154506424,True,True,True,True,0.6089174821173071
0.96,1.05,0.56,2.5275054e-05,0.24356,1.3324999999999998e-10,0.0,1.3324999999999998e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.3324999999999998e-10,0.0,1.3324999999999998e-10,0.016846666666661594,0.010000000000003062,0.16249999999999945,True,True,True,True,0.1893466666666641
0.96,1.05,0.58,2.5275054e-05,0.24356,1.3136438679245282e-10,0.0,1.3136438679245282e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.3136438679245282e-10,0.0,1.3136438679245282e-10,0.016846666666661594,0.010000000000003062,0.06821933962264125,True,True,True,True,0.09506600628930591
0.96,1.05,0.6,2.5275054e-05,0.24356,1.295313953488372e-10,0.0,1.295313953488372e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.295313953488372e-10,0.0,1.295313953488372e-10,0.016846666666661594,0.010000000000003062,0.02343023255814014,True,True,True,True,0.0502768992248048
0.96,1.05,0.62,2.5275054e-05,0.24356,1.2774885321100915e-10,0.0,1.2774885321100915e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.2774885321100915e-10,0.0,1.2774885321100915e-10,0.016846666666661594,0.010000000000003062,0.11255733944954208,True,True,True,True,0.13940400611620674
0.96,1.05,0.64,2.5275054e-05,0.24356,1.2601470588235292e-10,0.0,1.2601470588235292e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.2601470588235292e-10,0.0,1.2601470588235292e-10,0.016846666666661594,0.010000000000003062,0.19926470588235348,True,True,True,True,0.22611137254901814
0.96,1.05,0.66,2.5275054e-05,0.24356,1.243270089285714e-10,0.0,1.243270089285714e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.243270089285714e-10,0.0,1.243270089285714e-10,0.016846666666661594,0.010000000000003062,0.2836495535714295,True,True,True,True,0.31049622023809414
0.96,1.05,0.68,2.5275054e-05,0.24356,1.226839207048458e-10,0.0,1.226839207048458e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.226839207048458e-10,0.0,1.226839207048458e-10,0.016846666666661594,0.010000000000003062,0.3658039647577099,True,True,True,True,0.3926506314243745
0.96,1.05,0.7,2.5275054e-05,0.24356,1.210836956521739e-10,0.0,1.210836956521739e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.210836956521739e-10,0.0,1.210836956521739e-10,0.016846666666661594,0.010000000000003062,0.44581521739130403,True,True,True,True,0.47266188405796866
0.96,1.05,0.72,2.5275054e-05,0.24356,1.1952467811158797e-10,0.0,1.1952467811158797e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.1952467811158797e-10,0.0,1.1952467811158797e-10,0.016846666666661594,0.010000000000003062,0.5237660944206008,True,True,True,True,0.5506127610872655
0.96,1.07,0.56,2.5275054e-05,0.24356,1.3455e-10,0.0,1.3455e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.3455e-10,0.0,1.3455e-10,0.016846666666661594,0.010000000000003062,0.2275,True,True,True,True,0.25434666666666467
0.96,1.07,0.58,2.5275054e-05,0.24356,1.3264599056603776e-10,0.0,1.3264599056603776e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.3264599056603776e-10,0.0,1.3264599056603776e-10,0.016846666666661594,0.010000000000003062,0.13229952830188824,True,True,True,True,0.1591461949685529
0.96,1.07,0.6,2.5275054e-05,0.24356,1.3079511627906978e-10,0.0,1.3079511627906978e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.3079511627906978e-10,0.0,1.3079511627906978e-10,0.016846666666661594,0.010000000000003062,0.03975581395348929,True,True,True,True,0.06660248062015395
0.96,1.07,0.62,2.5275054e-05,0.24356,1.2899518348623854e-10,0.0,1.2899518348623854e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.2899518348623854e-10,0.0,1.2899518348623854e-10,0.016846666666661594,0.010000000000003062,0.05024082568807249,True,True,True,True,0.07708749235473715
0.96,1.07,0.64,2.5275054e-05,0.24356,1.2724411764705884e-10,0.0,1.2724411764705884e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.2724411764705884e-10,0.0,1.2724411764705884e-10,0.016846666666661594,0.010000000000003062,0.13779411764705762,True,True,True,True,0.16464078431372228
0.96,1.07,0.66,2.5275054e-05,0.24356,1.2553995535714285e-10,0.0,1.2553995535714285e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.2553995535714285e-10,0.0,1.2553995535714285e-10,0.016846666666661594,0.010000000000003062,0.2230022321428571,True,True,True,True,0.24984889880952177
0.96,1.07,0.68,2.5275054e-05,0.24356,1.2388083700440528e-10,0.0,1.2388083700440528e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.2388083700440528e-10,0.0,1.2388083700440528e-10,0.016846666666661594,0.010000000000003062,0.3059581497797355,True,True,True,True,0.33280481644640014
0.96,1.07,0.7,2.5275054e-05,0.24356,1.2226500000000002e-10,0.0,1.2226500000000002e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.2226500000000002e-10,0.0,1.2226500000000002e-10,0.016846666666661594,0.010000000000003062,0.3867499999999987,True,True,True,True,0.41359666666666334
0.96,1.07,0.72,2.5275054e-05,0.24356,1.2069077253218886e-10,0.0,1.2069077253218886e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.2069077253218886e-10,0.0,1.2069077253218886e-10,0.016846666666661594,0.010000000000003062,0.4654613733905567,True,True,True,True,0.49230804005722134
0.96,1.09,0.56,2.5275054e-05,0.24356,1.3584999999999998e-10,0.0,1.3584999999999998e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.3584999999999998e-10,0.0,1.3584999999999998e-10,0.016846666666661594,0.010000000000003062,0.29249999999999926,True,True,True,True,0.3193466666666639
0.96,1.09,0.58,2.5275054e-05,0.24356,1.3392759433962262e-10,0.0,1.3392759433962262e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.3392759433962262e-10,0.0,1.3392759433962262e-10,0.016846666666661594,0.010000000000003062,0.19637971698113135,True,True,True,True,0.223226383647796
0.96,1.09,0.6,2.5275054e-05,0.24356,1.3205883720930231e-10,0.0,1.3205883720930231e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.3205883720930231e-10,0.0,1.3205883720930231e-10,0.016846666666661594,0.010000000000003062,0.10294186046511614,True,True,True,True,0.1297885271317808
0.96,1.09,0.62,2.5275054e-05,0.24356,1.3024151376146788e-10,0.0,1.3024151376146788e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.3024151376146788e-10,0.0,1.3024151376146788e-10,0.016846666666661594,0.010000000000003062,0.012075688073394512,True,True,True,True,0.038922354740059166
0.96,1.09,0.64,2.5275054e-05,0.24356,1.2847352941176468e-10,0.0,1.2847352941176468e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.2847352941176468e-10,0.0,1.2847352941176468e-10,0.016846666666661594,0.010000000000003062,0.07632352941176562,True,True,True,True,0.10317019607843028
0.96,1.09,0.66,2.5275054e-05,0.24356,1.2675290178571427e-10,0.0,1.2675290178571427e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.2675290178571427e-10,0.0,1.2675290178571427e-10,0.016846666666661594,0.010000000000003062,0.16235491071428598,True,True,True,True,0.18920157738095064
0.96,1.09,0.68,2.5275054e-05,0.24356,1.2507775330396474e-10,0.0,1.2507775330396474e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.2507775330396474e-10,0.0,1.2507775330396474e-10,0.016846666666661594,0.010000000000003062,0.2461123348017624,True,True,True,True,0.27295900146842705
0.96,1.09,0.7,2.5275054e-05,0.24356,1.2344630434782607e-10,0.0,1.2344630434782607e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.2344630434782607e-10,0.0,1.2344630434782607e-10,0.016846666666661594,0.010000000000003062,0.327684782608696,True,True,True,True,0.3545314492753606
0.96,1.09,0.72,2.5275054e-05,0.24356,1.218568669527897e-10,0.0,1.218568669527897e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.218568669527897e-10,0.0,1.218568669527897e-10,0.016846666666661594,0.010000000000003062,0.4071566523605151,True,True,True,True,0.43400331902717976
0.96,1.11,0.56,2.5275054e-05,0.24356,1.3714999999999999e-10,0.0,1.3714999999999999e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.3714999999999999e-10,0.0,1.3714999999999999e-10,0.016846666666661594,0.010000000000003062,0.3574999999999998,True,True,True,True,0.38434666666666445
0.96,1.11,0.58,2.5275054e-05,0.24356,1.3520919811320756e-10,0.0,1.3520919811320756e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.3520919811320756e-10,0.0,1.3520919811320756e-10,0.016846666666661594,0.010000000000003062,0.26045990566037835,True,True,True,True,0.287306572327043
0.96,1.11,0.6,2.5275054e-05,0.24356,1.333225581395349e-10,0.0,1.333225581395349e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.333225581395349e-10,0.0,1.333225581395349e-10,0.016846666666661594,0.010000000000003062,0.16612790697674557,True,True,True,True,0.19297457364341022
0.96,1.11,0.62,2.5275054e-05,0.24356,1.3148784403669725e-10,0.0,1.3148784403669725e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.3148784403669725e-10,0.0,1.3148784403669725e-10,0.016846666666661594,0.010000000000003062,0.07439220183486281,True,True,True,True,0.10123886850152747
0.96,1.11,0.64,2.5275054e-05,0.24356,1.297029411764706e-10,0.0,1.297029411764706e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.297029411764706e-10,0.0,1.297029411764706e-10,0.016846666666661594,0.010000000000003062,0.014852941176469747,True,True,True,True,0.0416996078431344
0.96,1.11,0.66,2.5275054e-05,0.24356,1.2796584821428572e-10,0.0,1.2796584821428572e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.2796584821428572e-10,0.0,1.2796584821428572e-10,0.016846666666661594,0.010000000000003062,0.10170758928571359,True,True,True,True,0.12855425595237824
0.96,1.11,0.68,2.5275054e-05,0.24356,1.2627466960352423e-10,0.0,1.2627466960352423e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.2627466960352423e-10,0.0,1.2627466960352423e-10,0.016846666666661594,0.010000000000003062,0.18626651982378803,True,True,True,True,0.2131131864904527
0.96,1.11,0.7,2.5275054e-05,0.24356,1.246276086956522e-10,0.0,1.246276086956522e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.246276086956522e-10,0.0,1.246276086956522e-10,0.016846666666661594,0.010000000000003062,0.2686195652173894,True,True,True,True,0.295466231884054
0.96,1.11,0.72,2.5275054e-05,0.24356,1.2302296137339057e-10,0.0,1.2302296137339057e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.2302296137339057e-10,0.0,1.2302296137339057e-10,0.016846666666661594,0.010000000000003062,0.348851931330471,True,True,True,True,0.3756985979971356
0.96,1.13,0.56,2.5275054e-05,0.24356,1.3844999999999997e-10,0.0,1.3844999999999997e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.3844999999999997e-10,0.0,1.3844999999999997e-10,0.016846666666661594,0.010000000000003062,0.4224999999999991,True,True,True,True,0.44934666666666373
0.96,1.13,0.58,2.5275054e-05,0.24356,1.3649080188679245e-10,0.0,1.3649080188679245e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.3649080188679245e-10,0.0,1.3649080188679245e-10,0.016846666666661594,0.010000000000003062,0.3245400943396228,True,True,True,True,0.3513867610062874
