metric,value
verdict,v93b_supported
epsilon,-0.0069
c_em,0.09129186602870813
delta_em,-0.0006299138755980861
projection_hubble,0.8456060851270433
projection_growth,0.8314847054554945
projection_s8,0.8852421243100195
total_baseline_chi2,1603.3552707874642
total_corrected_chi2,707.11730221976
total_delta_chi2,896.2379685677042
JWST-05_baseline,498.38632479352884
JWST-05_corrected,223.2165773199112
JWST-05_delta,275.16974747361763
JWST-06_baseline,460.0121237946696
JWST-06_corrected,209.7944061950275
JWST-06_delta,250.2177175996421
JWST-07_baseline,411.23980945821813
JWST-07_corrected,176.5116642980277
JWST-07_delta,234.72814516019042
JWST-08_baseline,233.71701274104757
JWST-08_corrected,97.5946544067935
JWST-08_delta,136.12235833425407
